name,ptcgo,api,notes
"Audino","BLW 87",bw1-87,
"Bouffalant","BLW 90",bw1-90,
"Bouffalant","BLW 91",bw1-91,
"Lillipup","BLW 80",bw1-80,
"Lillipup","BLW 81",bw1-81,
"Minccino","BLW 88",bw1-88,
"Patrat","BLW 77",bw1-77,
"Patrat","BLW 78",bw1-78,
"Pidove","BLW 84",bw1-84,
"Cinccino","BLW 89",bw1-89,
"Herdier","BLW 82",bw1-82,
"Tranquill","BLW 85",bw1-85,
"Watchog","BLW 79",bw1-79,
"Stoutland","BLW 83",bw1-83,
"Unfezant","BLW 86",bw1-86,
"Purrloin","BLW 66",bw1-66,
"Scraggy","BLW 68",bw1-68,
"Vullaby","BLW 72",bw1-72,
"Zorua","BLW 70",bw1-70,
"Liepard","BLW 67",bw1-67,
"Mandibuzz","BLW 73",bw1-73,
"Scrafty","BLW 69",bw1-69,
"Zoroark","BLW 71",bw1-71,
"Sandile","BLW 63",bw1-63,
"Sawk","BLW 62",bw1-62,
"Throh","BLW 61",bw1-61,
"Timburr","BLW 58",bw1-58,
"Timburr","BLW 59",bw1-59,
"Gurdurr","BLW 60",bw1-60,
"Krokorok","BLW 64",bw1-64,
"Krookodile","BLW 65",bw1-65,
"Darumaka","BLW 23",bw1-23,
"Darumaka","BLW 24",bw1-24,
"Pansear","BLW 21",bw1-21,
"Reshiram","BLW 26",bw1-26,
"Tepig","BLW 15",bw1-15,
"Tepig","BLW 16",bw1-16,
"Darmanitan","BLW 25",bw1-25,
"Pignite","BLW 17",bw1-17,
"Pignite","BLW 18",bw1-18,
"Simisear","BLW 22",bw1-22,
"Emboar","BLW 19",bw1-19,
"Emboar","BLW 20",bw1-20,
"Deerling","BLW 13",bw1-13,
"Maractus","BLW 11",bw1-11,
"Maractus","BLW 12",bw1-12,
"Pansage","BLW 7",bw1-7,
"Petilil","BLW 9",bw1-9,
"Snivy","BLW 1",bw1-1,
"Snivy","BLW 2",bw1-2,
"Lilligant","BLW 10",bw1-10,
"Sawsbuck","BLW 14",bw1-14,
"Servine","BLW 3",bw1-3,
"Servine","BLW 4",bw1-4,
"Simisage","BLW 8",bw1-8,
"Serperior","BLW 5",bw1-5,
"Serperior","BLW 6",bw1-6,
"Blitzle","BLW 40",bw1-40,
"Blitzle","BLW 41",bw1-41,
"Joltik","BLW 44",bw1-44,
"Joltik","BLW 45",bw1-45,
"Pikachu","BLW 115",bw1-115,
"Zekrom","BLW 47",bw1-47,
"Galvantula","BLW 46",bw1-46,
"Zebstrika","BLW 42",bw1-42,
"Zebstrika","BLW 43",bw1-43,
"Klink","BLW 74",bw1-74,
"Klang","BLW 75",bw1-75,
"Klinklang","BLW 76",bw1-76,
"Munna","BLW 48",bw1-48,
"Solosis","BLW 55",bw1-55,
"Venipede","BLW 52",bw1-52,
"Woobat","BLW 50",bw1-50,
"Duosion","BLW 56",bw1-56,
"Musharna","BLW 49",bw1-49,
"Swoobat","BLW 51",bw1-51,
"Whirlipede","BLW 53",bw1-53,
"Reuniclus","BLW 57",bw1-57,
"Scolipede","BLW 54",bw1-54,
"Alomomola","BLW 38",bw1-38,
"Alomomola","BLW 39",bw1-39,
"Basculin","BLW 35",bw1-35,
"Ducklett","BLW 36",bw1-36,
"Oshawott","BLW 27",bw1-27,
"Oshawott","BLW 28",bw1-28,
"Panpour","BLW 33",bw1-33,
"Dewott","BLW 29",bw1-29,
"Dewott","BLW 30",bw1-30,
"Simipour","BLW 34",bw1-34,
"Swanna","BLW 37",bw1-37,
"Samurott","BLW 31",bw1-31,
"Samurott","BLW 32",bw1-32,
"Energy Retrieval","BLW 92",bw1-92,
"Energy Search","BLW 93",bw1-93,
"Energy Switch","BLW 94",bw1-94,
"Full Heal","BLW 95",bw1-95,
"PlusPower","BLW 96",bw1-96,
"Poké Ball","BLW 97",bw1-97,
"Pokédex","BLW 98",bw1-98,
"Pokémon Communication","BLW 99",bw1-99,
"Potion","BLW 100",bw1-100,
"Professor Juniper","BLW 101",bw1-101,
"Revive","BLW 102",bw1-102,
"Super Scoop Up","BLW 103",bw1-103,
"Switch","BLW 104",bw1-104,
"Darkness Energy","BLW 111",bw1-111,
"Fighting Energy","BLW 110",bw1-110,
"Fire Energy","BLW 106",bw1-106,
"Grass Energy","BLW 105",bw1-105,
"Lightning Energy","BLW 108",bw1-108,
"Metal Energy","BLW 112",bw1-112,
"Psychic Energy","BLW 109",bw1-109,
"Water Energy","BLW 107",bw1-107,
"Reshiram","BLW 113",bw1-113,
"Zekrom","BLW 114",bw1-114,
