name,ptcgo,api,notes
"Audino","BCR 126",bw7-126,
"Buneary","BCR 116",bw7-116,
"Ditto","BCR 108",bw7-108,
"Dunsparce","BCR 111",bw7-111,
"Farfetch'd","BCR 107",bw7-107,
"Lillipup","BCR 120",bw7-120,
"Meowth","BCR 106",bw7-106,
"Patrat","BCR 118",bw7-118,
"Pidove","BCR 123",bw7-123,
"Rattata","BCR 104",bw7-104,
"Skitty","BCR 113",bw7-113,
"Snorlax","BCR 109",bw7-109,
"Spinda","BCR 115",bw7-115,
"Taillow","BCR 112",bw7-112,
"Togepi","BCR 110",bw7-110,
"Delcatty","BCR 114",bw7-114,
"Herdier","BCR 121",bw7-121,
"Lopunny","BCR 117",bw7-117,
"Raticate","BCR 105",bw7-105,
"Tranquill","BCR 124",bw7-124,
"Watchog","BCR 119",bw7-119,
"Stoutland","BCR 122",bw7-122,
"Unfezant","BCR 125",bw7-125,
"Purrloin","BCR 90",bw7-90,
"Vullaby","BCR 92",bw7-92,
"Liepard","BCR 91",bw7-91,
"Mandibuzz","BCR 93",bw7-93,
"Black Kyurem","BCR 100",bw7-100,
"Black Kyurem-EX","BCR 101",bw7-101,
"White Kyurem","BCR 102",bw7-102,
"White Kyurem-EX","BCR 103",bw7-103,
"Altaria","BCR 152",bw7-152,
"Vibrava","BCR 98",bw7-98,
"Flygon","BCR 99",bw7-99,
"Dwebble","BCR 84",bw7-84,
"Gligar","BCR 80",bw7-80,
"Landorus-EX","BCR 89",bw7-89,
"Makuhita","BCR 82",bw7-82,
"Mienfoo","BCR 86",bw7-86,
"Mienfoo","BCR 87",bw7-87,
"Sandshrew","BCR 78",bw7-78,
"Terrakion","BCR 151",bw7-151,
"Trapinch","BCR 83",bw7-83,
"Crustle","BCR 85",bw7-85,
"Gliscor","BCR 81",bw7-81,
"Mienshao","BCR 88",bw7-88,
"Sandslash","BCR 79",bw7-79,
"Charmander","BCR 18",bw7-18,
"Darumaka","BCR 27",bw7-27,
"Numel","BCR 21",bw7-21,
"Tepig","BCR 24",bw7-24,
"Victini","BCR 23",bw7-23,
"Camerupt","BCR 22",bw7-22,
"Charmeleon","BCR 19",bw7-19,
"Darmanitan","BCR 28",bw7-28,
"Pignite","BCR 25",bw7-25,
"Charizard","BCR 20",bw7-20,
"Emboar","BCR 26",bw7-26,
"Celebi-EX","BCR 9",bw7-9,
"Cottonee","BCR 14",bw7-14,
"Heracross","BCR 8",bw7-8,
"Oddish","BCR 1",bw7-1,
