name,ptcgo,api,notes
"Chansey","DEX 80",bw5-80,
"Chansey","DEX 81",bw5-81,
"Chatot","DEX 85",bw5-85,
"Eevee","DEX 83",bw5-83,
"Eevee","DEX 84",bw5-84,
"Lillipup","DEX 86",bw5-86,
"Tornadus-EX","DEX 90",bw5-90,
"Blissey","DEX 82",bw5-82,
"Herdier","DEX 87",bw5-87,
"Haxorus","DEX 89",bw5-89,
"Stoutland","DEX 88",bw5-88,
"Darkrai-EX","DEX 63",bw5-63,
"Sableye","DEX 62",bw5-62,
"Sandile","DEX 64",bw5-64,
"Scraggy","DEX 67",bw5-67,
"Vullaby","DEX 73",bw5-73,
"Zorua","DEX 69",bw5-69,
"Zorua","DEX 70",bw5-70,
"Bisharp","DEX 72",bw5-72,
"Krokorok","DEX 65",bw5-65,
"Scrafty","DEX 68",bw5-68,
"Umbreon","DEX 60",bw5-60,
"Umbreon","DEX 61",bw5-61,
"Zoroark","DEX 71",bw5-71,
"Krookodile","DEX 66",bw5-66,
"Drilbur","DEX 55",bw5-55,
"Groudon-EX","DEX 54",bw5-54,
"Timburr","DEX 58",bw5-58,
"Aerodactyl","DEX 53",bw5-53,
"Archeops","DEX 110",bw5-110,
"Excadrill","DEX 56",bw5-56,
"Excadrill","DEX 57",bw5-57,
"Gurdurr","DEX 59",bw5-59,
"Entei-EX","DEX 13",bw5-13,
"Heatmor","DEX 19",bw5-19,
"Larvesta","DEX 20",bw5-20,
"Larvesta","DEX 21",bw5-21,
"Torchic","DEX 14",bw5-14,
"Torchic","DEX 15",bw5-15,
"Torkoal","DEX 18",bw5-18,
"Combusken","DEX 16",bw5-16,
"Flareon","DEX 12",bw5-12,
"Volcarona","DEX 22",bw5-22,
"Blaziken","DEX 17",bw5-17,
"Bulbasaur","DEX 1",bw5-1,
"Carnivine","DEX 5",bw5-5,
"Dwebble","DEX 7",bw5-7,
"Karrablast","DEX 9",bw5-9,
"Scyther","DEX 4",bw5-4,
"Shelmet","DEX 10",bw5-10,
"Accelgor","DEX 11",bw5-11,
"Crustle","DEX 8",bw5-8,
"Ivysaur","DEX 2",bw5-2,
"Leafeon","DEX 6",bw5-6,
"Venusaur","DEX 3",bw5-3,
"Joltik","DEX 41",bw5-41,
"Joltik","DEX 42",bw5-42,
"Minun","DEX 40",bw5-40,
"Plusle","DEX 39",bw5-39,
"Raikou-EX","DEX 38",bw5-38,
"Tynamo","DEX 44",bw5-44,
"Tynamo","DEX 45",bw5-45,
"Eelektrik","DEX 46",bw5-46,
"Galvantula","DEX 43",bw5-43,
"Jolteon","DEX 37",bw5-37,
"Eelektross","DEX 47",bw5-47,
"Klink","DEX 75",bw5-75,
"Pawniard","DEX 78",bw5-78,
"Bisharp","DEX 79",bw5-79,
"Escavalier","DEX 74",bw5-74,
"Klang","DEX 76",bw5-76,
"Klinklang","DEX 77",bw5-77,
"Woobat","DEX 50",bw5-50,
"Yamask","DEX 51",bw5-51,
"Cofagrigus","DEX 52",bw5-52,
"Espeon","DEX 48",bw5-48,
"Slowking","DEX 49",bw5-49,
"Gardevoir","DEX 109",bw5-109,
"Ducklett","DEX 35",bw5-35,
"Kyogre-EX","DEX 26",bw5-26,
"Piplup","DEX 27",bw5-27,
"Slowpoke","DEX 23",bw5-23,
"Tympole","DEX 31",bw5-31,
"Vanillite","DEX 33",bw5-33,
"Glaceon","DEX 30",bw5-30,
"Palpitoad","DEX 32",bw5-32,
"Prinplup","DEX 28",bw5-28,
"Slowbro","DEX 24",bw5-24,
"Swanna","DEX 36",bw5-36,
"Vanillish","DEX 34",bw5-34,
"Vaporeon","DEX 25",bw5-25,
"Empoleon","DEX 29",bw5-29,
"Cheren","DEX 91",bw5-91,
"Dark Claw","DEX 92",bw5-92,
"Dark Patch","DEX 93",bw5-93,
"Enhanced Hammer","DEX 94",bw5-94,
"Hooligans Jim & Cas","DEX 95",bw5-95,
"N","DEX 96",bw5-96,
"Old Amber Aerodactyl","DEX 97",bw5-97,
"Pokémon Catcher","DEX 111",bw5-111,
"Professor Juniper","DEX 98",bw5-98,
"Random Receiver","DEX 99",bw5-99,
"Rare Candy","DEX 100",bw5-100,
"Twist Mountain","DEX 101",bw5-101,
"Ultra Ball","DEX 102",bw5-102,
"Tornadus-EX","DEX 108",bw5-108,
"Darkrai-EX","DEX 107",bw5-107,
"Groudon-EX","DEX 106",bw5-106,
"Entei-EX","DEX 103",bw5-103,
"Raikou-EX","DEX 105",bw5-105,
"Kyogre-EX","DEX 104",bw5-104,
