name,ptcgo,api,notes
"Axew","DRV 12",dv1-12,
"Axew","DRV 13",dv1-13,
"Bagon","DRV 6",dv1-6,
"Dratini","DRV 1",dv1-1,
"Dratini","DRV 2",dv1-2,
"Druddigon","DRV 17",dv1-17,
"Kyurem","DRV 21",dv1-21,
"Latias","DRV 9",dv1-9,
"Latios","DRV 10",dv1-10,
"Rayquaza","DRV 11",dv1-11,
"Dragonair","DRV 3",dv1-3,
"Dragonair","DRV 4",dv1-4,
"Fraxure","DRV 14",dv1-14,
"Fraxure","DRV 15",dv1-15,
"Shelgon","DRV 7",dv1-7,
"Dragonite","DRV 5",dv1-5,
"Haxorus","DRV 16",dv1-16,
"Salamence","DRV 8",dv1-8,
"Exp. Share","DRV 18",dv1-18,
"First Ticket","DRV 19",dv1-19,
"Super Rod","DRV 20",dv1-20,
