name,ptcgo,api,notes
"Aipom","DRX 99",bw6-99,
"Audino","DRX 108",bw6-108,
"Bidoof","DRX 106",bw6-106,
"Bouffalant","DRX 110",bw6-110,
"Minccino","DRX 109",bw6-109,
"Rufflet","DRX 111",bw6-111,
"Slakoth","DRX 101",bw6-101,
"Swablu","DRX 104",bw6-104,
"Swablu","DRX 105",bw6-105,
"Ambipom","DRX 100",bw6-100,
"Bibarel","DRX 107",bw6-107,
"Braviary","DRX 112",bw6-112,
"Vigoroth","DRX 102",bw6-102,
"Slaking","DRX 103",bw6-103,
"Houndour","DRX 74",bw6-74,
"Murkrow","DRX 72",bw6-72,
"Stunky","DRX 76",bw6-76,
"Honchkrow","DRX 73",bw6-73,
"Houndoom","DRX 75",bw6-75,
"Skuntank","DRX 77",bw6-77,
"Krookodile","DRX 127",bw6-127,
"Deino","DRX 93",bw6-93,
"Deino","DRX 94",bw6-94,
"Gible","DRX 86",bw6-86,
"Gible","DRX 87",bw6-87,
"Giratina-EX","DRX 92",bw6-92,
"Rayquaza","DRX 128",bw6-128,
"Rayquaza-EX","DRX 85",bw6-85,
"Altaria","DRX 84",bw6-84,
"Gabite","DRX 88",bw6-88,
"Gabite","DRX 89",bw6-89,
"Zweilous","DRX 95",bw6-95,
"Zweilous","DRX 96",bw6-96,
"Garchomp","DRX 90",bw6-90,
"Garchomp","DRX 91",bw6-91,
"Hydreigon","DRX 97",bw6-97,
"Hydreigon","DRX 98",bw6-98,
"Baltoy","DRX 63",bw6-63,
"Cubone","DRX 60",bw6-60,
"Nosepass","DRX 62",bw6-62,
"Roggenrola","DRX 65",bw6-65,
"Sawk","DRX 69",bw6-69,
"Stunfisk","DRX 70",bw6-70,
"Terrakion-EX","DRX 71",bw6-71,
"Throh","DRX 68",bw6-68,
"Boldore","DRX 66",bw6-66,
"Claydol","DRX 64",bw6-64,
"Marowak","DRX 61",bw6-61,
"Gigalith","DRX 67",bw6-67,
"Ho-Oh-EX","DRX 22",bw6-22,
"Magmar","DRX 20",bw6-20,
"Vulpix","DRX 18",bw6-18,
"Magmortar","DRX 21",bw6-21,
"Ninetales","DRX 19",bw6-19,
"Foongus","DRX 17",bw6-17,
"Hoppip","DRX 1",bw6-1,
"Maractus","DRX 16",bw6-16,
"Nincada","DRX 10",bw6-10,
"Roselia","DRX 12",bw6-12,
"Roselia","DRX 13",bw6-13,
"Wurmple","DRX 6",bw6-6,
"Yanma","DRX 4",bw6-4,
"Cascoon","DRX 9",bw6-9,
"Ninjask","DRX 11",bw6-11,
"Roserade","DRX 14",bw6-14,
"Roserade","DRX 15",bw6-15,
"Silcoon","DRX 7",bw6-7,
"Skiploom","DRX 2",bw6-2,
"Yanmega","DRX 5",bw6-5,
"Beautifly","DRX 8",bw6-8,
"Jumpluff","DRX 3",bw6-3,
"Serperior","DRX 125",bw6-125,
"Electrike","DRX 41",bw6-41,
"Electrike","DRX 42",bw6-42,
"Emolga","DRX 45",bw6-45,
"Mareep","DRX 38",bw6-38,
"Flaaffy","DRX 39",bw6-39,
"Manectric","DRX 43",bw6-43,
"Manectric","DRX 44",bw6-44,
"Ampharos","DRX 40",bw6-40,
"Aron","DRX 78",bw6-78,
"Durant","DRX 83",bw6-83,
"Registeel-EX","DRX 81",bw6-81,
"Lairon","DRX 79",bw6-79,
"Probopass","DRX 82",bw6-82,
"Aggron","DRX 80",bw6-80,
"Drifloon","DRX 49",bw6-49,
"Drifloon","DRX 50",bw6-50,
"Golett","DRX 58",bw6-58,
"Gothita","DRX 55",bw6-55,
"Mew-EX","DRX 46",bw6-46,
"Sigilyph","DRX 52",bw6-52,
"Trubbish","DRX 53",bw6-53,
"Drifblim","DRX 51",bw6-51,
"Garbodor","DRX 54",bw6-54,
"Golurk","DRX 59",bw6-59,
"Gothorita","DRX 56",bw6-56,
"Shedinja","DRX 48",bw6-48,
"Dustox","DRX 47",bw6-47,
"Gothitelle","DRX 57",bw6-57,
"Reuniclus","DRX 126",bw6-126,
"Alomomola","DRX 37",bw6-37,
"Buizel","DRX 32",bw6-32,
"Feebas","DRX 27",bw6-27,
"Magikarp","DRX 23",bw6-23,
"Spheal","DRX 29",bw6-29,
"Tympole","DRX 34",bw6-34,
"Wailmer","DRX 25",bw6-25,
"Floatzel","DRX 33",bw6-33,
"Gyarados","DRX 24",bw6-24,
"Milotic","DRX 28",bw6-28,
"Palpitoad","DRX 35",bw6-35,
"Sealeo","DRX 30",bw6-30,
"Wailord","DRX 26",bw6-26,
"Seismitoad","DRX 36",bw6-36,
"Walrein","DRX 31",bw6-31,
"Devolution Spray","DRX 113",bw6-113,
"Giant Cape","DRX 114",bw6-114,
"Rescue Scarf","DRX 115",bw6-115,
"Tool Scrapper","DRX 116",bw6-116,
"Blend Energy {G} {R} {P} {D}","DRX 117",bw6-117,
"Blend Energy {W} {L} {F} {M}","DRX 118",bw6-118,
"Giratina-EX","DRX 124",bw6-124,
"Rayquaza-EX","DRX 123",bw6-123,
"Terrakion-EX","DRX 121",bw6-121,
"Ho-Oh-EX","DRX 119",bw6-119,
"Registeel-EX","DRX 122",bw6-122,
"Mew-EX","DRX 120",bw6-120,
