name,ptcgo,api,notes
"Audino","LTR 132",bw11-RC17,
"Bouffalant","LTR 107",bw11-107,
"Druddigon","LTR 106",bw11-106,
"Eevee","LTR 129",bw11-RC14,
"Lugia-EX","LTR 102",bw11-102,
"Minccino","LTR 104",bw11-104,
"Minccino","LTR 133",bw11-RC18,
"Swablu","LTR 103",bw11-103,
"Teddiursa","LTR 130",bw11-RC15,
"Tornadus","LTR 108",bw11-108,
"Cinccino","LTR 105",bw11-105,
"Ursaring","LTR 131",bw11-RC16,
"Darkrai-EX","LTR 88",bw11-88,
"Purrloin","LTR 128",bw11-RC13,
"Spiritomb","LTR 87",bw11-87,
"Zorua","LTR 89",bw11-89,
"Zoroark","LTR 90",bw11-90,
"Black Kyurem-EX","LTR 100",bw11-100,
"Deino","LTR 97",bw11-97,
"Gible","LTR 94",bw11-94,
"Rayquaza","LTR 93",bw11-93,
"White Kyurem-EX","LTR 101",bw11-101,
"Altaria","LTR 92",bw11-92,
"Gabite","LTR 95",bw11-95,
"Zweilous","LTR 98",bw11-98,
"Garchomp","LTR 96",bw11-96,
"Hydreigon","LTR 99",bw11-99,
"Excadrill-EX","LTR 82",bw11-82,
"Landorus","LTR 85",bw11-85,
"Meloetta","LTR 86",bw11-86,
"Riolu","LTR 79",bw11-79,
"Stunfisk","LTR 83",bw11-83,
"Stunfisk","LTR 127",bw11-RC12,
"Terrakion","LTR 84",bw11-84,
"Lucario","LTR 80",bw11-80,
"Gallade","LTR 81",bw11-81,
"Charmander","LTR 17",bw11-17,
"Growlithe","LTR 119",bw11-RC4,
"Moltres","LTR 22",bw11-22,
"Reshiram","LTR 28",bw11-28,
"Reshiram-EX","LTR 29",bw11-29,
"Tepig","LTR 25",bw11-25,
"Torchic","LTR 120",bw11-RC5,
"Victini","LTR 23",bw11-23,
"Victini-EX","LTR 24",bw11-24,
"Vulpix","LTR 20",bw11-20,
"Charmeleon","LTR 18",bw11-18,
"Ninetales","LTR 21",bw11-21,
"Pignite","LTR 26",bw11-26,
"Charizard","LTR 19",bw11-19,
"Emboar","LTR 27",bw11-27,
"Carnivine","LTR 5",bw11-5,
"Cherubi","LTR 4",bw11-4,
"Dwebble","LTR 13",bw11-13,
"Genesect","LTR 16",bw11-16,
"Sewaddle","LTR 9",bw11-9,
"Sewaddle","LTR 10",bw11-10,
"Shaymin-EX","LTR 136",bw11-RC21,
"Shuckle","LTR 3",bw11-3,
"Snivy","LTR 6",bw11-6,
"Snivy","LTR 116",bw11-RC1,
"Tangela","LTR 1",bw11-1,
"Virizion","LTR 15",bw11-15,
"Crustle","LTR 14",bw11-14,
"Servine","LTR 7",bw11-7,
"Servine","LTR 117",bw11-RC2,
"Swadloon","LTR 11",bw11-11,
"Tangrowth","LTR 2",bw11-2,
"Leavanny","LTR 12",bw11-12,
"Serperior","LTR 8",bw11-8,
"Serperior","LTR 118",bw11-RC3,
"Emolga","LTR 49",bw11-49,
"Minun","LTR 48",bw11-48,
"Pikachu","LTR 122",bw11-RC7,
"Plusle","LTR 47",bw11-47,
"Thundurus","LTR 50",bw11-50,
"Zapdos","LTR 46",bw11-46,
"Zekrom","LTR 51",bw11-51,
"Zekrom-EX","LTR 52",bw11-52,
"Cobalion","LTR 91",bw11-91,
"Chandelure-EX","LTR 77",bw11-77,
"Croagunk","LTR 62",bw11-62,
"Gothita","LTR 69",bw11-69,
"Gothita","LTR 70",bw11-70,
"Meloetta","LTR 78",bw11-78,
"Meloetta-EX","LTR 126",bw11-RC11,
"Mew-EX","LTR 139",bw11-RC24,
"Mewtwo","LTR 53",bw11-53,
"Mewtwo-EX","LTR 54",bw11-54,
"Misdreavus","LTR 57",bw11-57,
"Natu","LTR 55",bw11-55,
"Ralts","LTR 59",bw11-59,
"Ralts","LTR 123",bw11-RC8,
"Sableye","LTR 61",bw11-61,
"Sigilyph","LTR 66",bw11-66,
"Solosis","LTR 73",bw11-73,
"Solosis","LTR 74",bw11-74,
"Trubbish","LTR 67",bw11-67,
"Woobat","LTR 64",bw11-64,
"Duosion","LTR 75",bw11-75,
"Garbodor","LTR 68",bw11-68,
"Gothorita","LTR 71",bw11-71,
"Kirlia","LTR 60",bw11-60,
"Kirlia","LTR 124",bw11-RC9,
"Mismagius","LTR 58",bw11-58,
"Swoobat","LTR 65",bw11-65,
"Toxicroak","LTR 63",bw11-63,
"Xatu","LTR 56",bw11-56,
"Gardevoir","LTR 125",bw11-RC10,
"Gothitelle","LTR 72",bw11-72,
"Reuniclus","LTR 76",bw11-76,
"Articuno","LTR 32",bw11-32,
"Keldeo-EX","LTR 45",bw11-45,
"Kyurem","LTR 43",bw11-43,
"Kyurem-EX","LTR 44",bw11-44,
"Magikarp","LTR 30",bw11-30,
"Oshawott","LTR 37",bw11-37,
"Phione","LTR 36",bw11-36,
"Piplup","LTR 33",bw11-33,
"Piplup","LTR 121",bw11-RC6,
"Tympole","LTR 40",bw11-40,
"Dewott","LTR 38",bw11-38,
"Gyarados","LTR 31",bw11-31,
"Palpitoad","LTR 41",bw11-41,
"Prinplup","LTR 34",bw11-34,
"Empoleon","LTR 35",bw11-35,
"Samurott","LTR 39",bw11-39,
"Seismitoad","LTR 42",bw11-42,
"Bianca","LTR 109",bw11-109,
"Cedric Juniper","LTR 110",bw11-110,
"Crushing Hammer","LTR 111",bw11-111,
"Elesa","LTR 135",bw11-RC20,
"Energy Switch","LTR 112",bw11-112,
"Double Colorless Energy","LTR 113",bw11-113,
"Reshiram","LTR 137",bw11-RC22,
"Emolga","LTR 138",bw11-RC23,
"Zekrom","LTR 115",bw11-115,
"Meloetta-EX","LTR 140",bw11-RC25,
"Reshiram","LTR 114",bw11-114,
"Cinccino","LTR 105",bw11-RC19
