name,ptcgo,api,notes
"Jigglypuff","NXD 78",bw4-78,
"Meowth","NXD 80",bw4-80,
"Minccino","NXD 84",bw4-84,
"Pidove","NXD 83",bw4-83,
"Regigigas-EX","NXD 82",bw4-82,
"Cinccino","NXD 85",bw4-85,
"Persian","NXD 81",bw4-81,
"Wigglytuff","NXD 79",bw4-79,
"Scraggy","NXD 73",bw4-73,
"Sneasel","NXD 69",bw4-69,
"Nuzleaf","NXD 71",bw4-71,
"Scrafty","NXD 74",bw4-74,
"Weavile","NXD 70",bw4-70,
"Zoroark","NXD 102",bw4-102,
"Hydreigon","NXD 103",bw4-103,
"Shiftry","NXD 72",bw4-72,
"Hippopotas","NXD 65",bw4-65,
"Mienfoo","NXD 67",bw4-67,
"Riolu","NXD 63",bw4-63,
"Hippowdon","NXD 66",bw4-66,
"Lucario","NXD 64",bw4-64,
"Mienshao","NXD 68",bw4-68,
"Darumaka","NXD 17",bw4-17,
"Growlithe","NXD 10",bw4-10,
"Growlithe","NXD 11",bw4-11,
"Litwick","NXD 18",bw4-18,
"Moltres","NXD 14",bw4-14,
"Pansear","NXD 15",bw4-15,
"Reshiram","NXD 21",bw4-21,
"Reshiram-EX","NXD 22",bw4-22,
"Arcanine","NXD 12",bw4-12,
"Arcanine","NXD 13",bw4-13,
"Lampent","NXD 19",bw4-19,
"Simisear","NXD 16",bw4-16,
"Chandelure","NXD 20",bw4-20,
"Emboar","NXD 100",bw4-100,
"Foongus","NXD 8",bw4-8,
"Kricketot","NXD 3",bw4-3,
"Pansage","NXD 6",bw4-6,
"Pinsir","NXD 1",bw4-1,
"Seedot","NXD 2",bw4-2,
"Shaymin-EX","NXD 5",bw4-5,
"Amoonguss","NXD 9",bw4-9,
"Kricketune","NXD 4",bw4-4,
"Simisage","NXD 7",bw4-7,
"Blitzle","NXD 47",bw4-47,
"Emolga","NXD 49",bw4-49,
"Pikachu","NXD 39",bw4-39,
"Shinx","NXD 42",bw4-42,
"Shinx","NXD 43",bw4-43,
"Zapdos","NXD 41",bw4-41,
"Zekrom","NXD 50",bw4-50,
"Zekrom-EX","NXD 51",bw4-51,
"Luxio","NXD 44",bw4-44,
"Luxio","NXD 45",bw4-45,
"Raichu","NXD 40",bw4-40,
"Zebstrika","NXD 48",bw4-48,
"Luxray","NXD 46",bw4-46,
"Bronzor","NXD 75",bw4-75,
"Ferroseed","NXD 77",bw4-77,
"Bronzong","NXD 76",bw4-76,
"Elgyem","NXD 61",bw4-61,
"Grimer","NXD 52",bw4-52,
"Mewtwo-EX","NXD 54",bw4-54,
"Munna","NXD 58",bw4-58,
"Ralts","NXD 55",bw4-55,
"Beheeyem","NXD 62",bw4-62,
"Darmanitan","NXD 60",bw4-60,
"Kirlia","NXD 56",bw4-56,
"Muk","NXD 53",bw4-53,
"Musharna","NXD 59",bw4-59,
"Chandelure","NXD 101",bw4-101,
"Gardevoir","NXD 57",bw4-57,
"Articuno","NXD 27",bw4-27,
"Basculin","NXD 30",bw4-30,
"Cubchoo","NXD 36",bw4-36,
"Frillish","NXD 34",bw4-34,
"Kyurem-EX","NXD 38",bw4-38,
"Lapras","NXD 25",bw4-25,
"Lapras","NXD 26",bw4-26,
"Panpour","NXD 28",bw4-28,
"Staryu","NXD 23",bw4-23,
"Vanillite","NXD 31",bw4-31,
"Beartic","NXD 37",bw4-37,
"Jellicent","NXD 35",bw4-35,
"Simipour","NXD 29",bw4-29,
"Starmie","NXD 24",bw4-24,
"Vanillish","NXD 32",bw4-32,
"Vanilluxe","NXD 33",bw4-33,
"Cilan","NXD 86",bw4-86,
"Exp. Share","NXD 87",bw4-87,
"Heavy Ball","NXD 88",bw4-88,
"Level Ball","NXD 89",bw4-89,
"Pokémon Center","NXD 90",bw4-90,
"Skyarrow Bridge","NXD 91",bw4-91,
"Double Colorless Energy","NXD 92",bw4-92,
"Prism Energy","NXD 93",bw4-93,
"Regigigas-EX","NXD 99",bw4-99,
"Reshiram-EX","NXD 95",bw4-95,
"Shaymin-EX","NXD 94",bw4-94,
"Zekrom-EX","NXD 97",bw4-97,
"Mewtwo-EX","NXD 98",bw4-98,
"Kyurem-EX","NXD 96",bw4-96,
