name,ptcgo,api,notes
"Audino","NVI 85",bw3-85,
"Axew","NVI 86",bw3-86,
"Druddigon","NVI 89",bw3-89,
"Meowth","NVI 102",bw3-102,
"Fraxure","NVI 87",bw3-87,
"Haxorus","NVI 88",bw3-88,
"Deino","NVI 77",bw3-77,
"Pawniard","NVI 75",bw3-75,
"Bisharp","NVI 76",bw3-76,
"Zweilous","NVI 78",bw3-78,
"Hydreigon","NVI 79",bw3-79,
"Golett","NVI 71",bw3-71,
"Landorus","NVI 74",bw3-74,
"Mienfoo","NVI 69",bw3-69,
"Stunfisk","NVI 68",bw3-68,
"Terrakion","NVI 73",bw3-73,
"Timburr","NVI 62",bw3-62,
"Archen","NVI 66",bw3-66,
"Archeops","NVI 67",bw3-67,
"Golurk","NVI 72",bw3-72,
"Gurdurr","NVI 63",bw3-63,
"Mienshao","NVI 70",bw3-70,
"Conkeldurr","NVI 64",bw3-64,
"Conkeldurr","NVI 65",bw3-65,
"Gigalith","NVI 61",bw3-61,
"Heatmor","NVI 18",bw3-18,
"Larvesta","NVI 19",bw3-19,
"Larvesta","NVI 20",bw3-20,
"Pansear","NVI 16",bw3-16,
"Victini","NVI 14",bw3-14,
"Victini","NVI 15",bw3-15,
"Simisear","NVI 17",bw3-17,
"Volcarona","NVI 21",bw3-21,
"Dwebble","NVI 6",bw3-6,
"Foongus","NVI 9",bw3-9,
"Karrablast","NVI 8",bw3-8,
"Petilil","NVI 4",bw3-4,
"Sewaddle","NVI 1",bw3-1,
"Shelmet","NVI 11",bw3-11,
"Virizion","NVI 13",bw3-13,
"Accelgor","NVI 12",bw3-12,
"Amoonguss","NVI 10",bw3-10,
"Crustle","NVI 7",bw3-7,
"Lilligant","NVI 5",bw3-5,
"Swadloon","NVI 2",bw3-2,
"Leavanny","NVI 3",bw3-3,
"Blitzle","NVI 35",bw3-35,
"Emolga","NVI 37",bw3-37,
"Stunfisk","NVI 42",bw3-42,
"Tynamo","NVI 38",bw3-38,
"Tynamo","NVI 39",bw3-39,
"Eelektrik","NVI 40",bw3-40,
"Zebstrika","NVI 36",bw3-36,
"Eelektross","NVI 41",bw3-41,
"Cobalion","NVI 84",bw3-84,
"Durant","NVI 83",bw3-83,
"Pawniard","NVI 81",bw3-81,
"Bisharp","NVI 82",bw3-82,
"Escavalier","NVI 80",bw3-80,
"Elgyem","NVI 54",bw3-54,
"Elgyem","NVI 55",bw3-55,
"Litwick","NVI 57",bw3-57,
"Litwick","NVI 58",bw3-58,
"Solosis","NVI 50",bw3-50,
"Trubbish","NVI 48",bw3-48,
"Victini","NVI 43",bw3-43,
"Yamask","NVI 44",bw3-44,
"Yamask","NVI 45",bw3-45,
"Beheeyem","NVI 56",bw3-56,
"Cofagrigus","NVI 46",bw3-46,
"Cofagrigus","NVI 47",bw3-47,
"Duosion","NVI 51",bw3-51,
"Garbodor","NVI 49",bw3-49,
"Lampent","NVI 59",bw3-59,
"Chandelure","NVI 60",bw3-60,
"Reuniclus","NVI 52",bw3-52,
"Reuniclus","NVI 53",bw3-53,
"Cryogonal","NVI 32",bw3-32,
"Cryogonal","NVI 33",bw3-33,
"Frillish","NVI 30",bw3-30,
"Kyurem","NVI 34",bw3-34,
"Tympole","NVI 22",bw3-22,
"Vanillite","NVI 27",bw3-27,
"Tirtouga","NVI 25",bw3-25,
"Carracosta","NVI 26",bw3-26,
"Jellicent","NVI 31",bw3-31,
"Palpitoad","NVI 23",bw3-23,
"Vanillish","NVI 28",bw3-28,
"Seismitoad","NVI 24",bw3-24,
"Vanilluxe","NVI 29",bw3-29,
"Cover Fossil","NVI 90",bw3-90,
"Eviolite","NVI 91",bw3-91,
"N","NVI 92",bw3-92,
"Plume Fossil","NVI 93",bw3-93,
"Rocky Helmet","NVI 94",bw3-94,
"Super Rod","NVI 95",bw3-95,
"Xtransceiver","NVI 96",bw3-96,
"Terrakion","NVI 99",bw3-99,
"Victini","NVI 98",bw3-98,
"Virizion","NVI 97",bw3-97,
"Cobalion","NVI 100",bw3-100,
"N","NVI 101",bw3-101,
