name,ptcgo,api,notes
"Chatot","PLB 77",bw10-77,
"Kangaskhan","PLB 71",bw10-71,
"Porygon","PLB 72",bw10-72,
"Teddiursa","PLB 75",bw10-75,
"Porygon2","PLB 73",bw10-73,
"Ursaring","PLB 76",bw10-76,
"Porygon-Z","PLB 74",bw10-74,
"Houndour","PLB 55",bw10-55,
"Houndoom","PLB 56",bw10-56,
"Axew","PLB 67",bw10-67,
"Bagon","PLB 62",bw10-62,
"Dialga-EX","PLB 65",bw10-65,
"Druddigon","PLB 70",bw10-70,
"Palkia-EX","PLB 66",bw10-66,
"Fraxure","PLB 68",bw10-68,
"Shelgon","PLB 63",bw10-63,
"Haxorus","PLB 69",bw10-69,
"Salamence","PLB 64",bw10-64,
"Machop","PLB 47",bw10-47,
"Sawk","PLB 52",bw10-52,
"Throh","PLB 51",bw10-51,
"Archen","PLB 53",bw10-53,
"Archeops","PLB 54",bw10-54,
"Machoke","PLB 48",bw10-48,
"Machamp","PLB 49",bw10-49,
"Machamp","PLB 50",bw10-50,
"Larvesta","PLB 12",bw10-12,
"Volcarona","PLB 13",bw10-13,
"Exeggcute","PLB 102",bw10-102,
"Genesect","PLB 10",bw10-10,
"Genesect-EX","PLB 11",bw10-11,
"Karrablast","PLB 6",bw10-6,
"Shelmet","PLB 7",bw10-7,
"Surskit","PLB 1",bw10-1,
"Tropius","PLB 5",bw10-5,
"Virizion","PLB 103",bw10-103,
"Virizion-EX","PLB 9",bw10-9,
"Lileep","PLB 3",bw10-3,
"Accelgor","PLB 8",bw10-8,
"Cradily","PLB 4",bw10-4,
"Masquerain","PLB 2",bw10-2,
"Tynamo","PLB 31",bw10-31,
"Eelektrik","PLB 32",bw10-32,
"Eelektross","PLB 33",bw10-33,
"Aron","PLB 57",bw10-57,
"Jirachi-EX","PLB 60",bw10-60,
"Escavalier","PLB 61",bw10-61,
"Lairon","PLB 58",bw10-58,
"Aggron","PLB 59",bw10-59,
"Azelf","PLB 38",bw10-38,
"Drifloon","PLB 34",bw10-34,
"Golett","PLB 45",bw10-45,
"Mesprit","PLB 37",bw10-37,
"Munna","PLB 39",bw10-39,
"Sigilyph","PLB 41",bw10-41,
"Solosis","PLB 42",bw10-42,
"Uxie","PLB 36",bw10-36,
"Drifblim","PLB 35",bw10-35,
"Duosion","PLB 43",bw10-43,
"Golurk","PLB 46",bw10-46,
"Musharna","PLB 40",bw10-40,
"Dusknoir","PLB 104",bw10-104,
"Reuniclus","PLB 44",bw10-44,
"Ducklett","PLB 29",bw10-29,
"Kyurem-EX","PLB 30",bw10-30,
"Lapras","PLB 17",bw10-17,
"Relicanth","PLB 24",bw10-24,
"Remoraid","PLB 18",bw10-18,
"Snorunt","PLB 21",bw10-21,
"Snover","PLB 25",bw10-25,
"Squirtle","PLB 14",bw10-14,
"Suicune","PLB 20",bw10-20,
"Tirtouga","PLB 27",bw10-27,
"Abomasnow","PLB 26",bw10-26,
"Carracosta","PLB 28",bw10-28,
"Froslass","PLB 23",bw10-23,
"Glalie","PLB 22",bw10-22,
"Octillery","PLB 19",bw10-19,
"Wartortle","PLB 15",bw10-15,
"Blastoise","PLB 16",bw10-16,
"Caitlin","PLB 78",bw10-78,
"Cover Fossil","PLB 79",bw10-79,
"Energy Retrieval","PLB 80",bw10-80,
"G Booster","PLB 92",bw10-92,
"Iris","PLB 81",bw10-81,
"Plume Fossil","PLB 82",bw10-82,
"Pokémon Catcher","PLB 83",bw10-83,
"Professor Juniper","PLB 84",bw10-84,
"Rare Candy","PLB 85",bw10-85,
"Reversal Trigger","PLB 86",bw10-86,
"Root Fossil Lileep","PLB 87",bw10-87,
"Silver Bangle","PLB 88",bw10-88,
"Silver Mirror","PLB 89",bw10-89,
"Ultra Ball","PLB 90",bw10-90,
"Plasma Energy","PLB 91",bw10-91,
"Dialga-EX","PLB 99",bw10-99,
"Palkia-EX","PLB 100",bw10-100,
"Genesect-EX","PLB 97",bw10-97,
"Virizion-EX","PLB 96",bw10-96,
"Jirachi-EX","PLB 98",bw10-98,
"Iris","PLB 101",bw10-101,
"G Scope","PLB 93",bw10-93,
"Rare Candy","PLB 105",bw10-105,
"Master Ball","PLB 94",bw10-94,
"Scoop Up Cyclone","PLB 95",bw10-95,
