name,ptcgo,api,notes
"Eevee","PLF 89",bw9-89,
"Eevee","PLF 90",bw9-90,
"Hoothoot","PLF 91",bw9-91,
"Kecleon","PLF 94",bw9-94,
"Miltank","PLF 93",bw9-93,
"Rattata","PLF 87",bw9-87,
"Starly","PLF 95",bw9-95,
"Tornadus-EX","PLF 98",bw9-98,
"Noctowl","PLF 92",bw9-92,
"Raticate","PLF 88",bw9-88,
"Staravia","PLF 96",bw9-96,
"Staraptor","PLF 97",bw9-97,
"Absol","PLF 67",bw9-67,
"Deino","PLF 75",bw9-75,
"Deino","PLF 76",bw9-76,
"Pawniard","PLF 71",bw9-71,
"Pawniard","PLF 72",bw9-72,
"Sandile","PLF 68",bw9-68,
"Sneasel","PLF 65",bw9-65,
"Bisharp","PLF 73",bw9-73,
"Bisharp","PLF 74",bw9-74,
"Krokorok","PLF 69",bw9-69,
"Umbreon","PLF 64",bw9-64,
"Weavile","PLF 66",bw9-66,
"Zweilous","PLF 77",bw9-77,
"Hydreigon","PLF 78",bw9-78,
"Krookodile","PLF 70",bw9-70,
"Dratini","PLF 81",bw9-81,
"Latias-EX","PLF 85",bw9-85,
"Latios-EX","PLF 86",bw9-86,
"Dragonair","PLF 82",bw9-82,
"Dragonite","PLF 83",bw9-83,
"Garchomp","PLF 120",bw9-120,
"Kingdra","PLF 84",bw9-84,
"Makuhita","PLF 62",bw9-62,
"Mankey","PLF 59",bw9-59,
"Onix","PLF 61",bw9-61,
"Hariyama","PLF 63",bw9-63,
"Primeape","PLF 60",bw9-60,
"Nidoking","PLF 58",bw9-58,
"Heatran-EX","PLF 13",bw9-13,
"Litwick","PLF 14",bw9-14,
"Reshiram","PLF 17",bw9-17,
"Flareon","PLF 12",bw9-12,
"Lampent","PLF 15",bw9-15,
"Chandelure","PLF 16",bw9-16,
"Cacnea","PLF 9",bw9-9,
"Exeggcute","PLF 4",bw9-4,
"Treecko","PLF 6",bw9-6,
"Weedle","PLF 1",bw9-1,
"Cacturne","PLF 10",bw9-10,
"Exeggutor","PLF 5",bw9-5,
"Grovyle","PLF 7",bw9-7,
"Kakuna","PLF 2",bw9-2,
"Leafeon","PLF 11",bw9-11,
"Beedrill","PLF 3",bw9-3,
"Sceptile","PLF 8",bw9-8,
"Chinchou","PLF 35",bw9-35,
"Pachirisu","PLF 37",bw9-37,
"Thundurus-EX","PLF 38",bw9-38,
"Voltorb","PLF 32",bw9-32,
"Zekrom","PLF 39",bw9-39,
"Electrode","PLF 33",bw9-33,
"Jolteon","PLF 34",bw9-34,
"Lanturn","PLF 36",bw9-36,
"Mawile","PLF 80",bw9-80,
"Steelix","PLF 79",bw9-79,
"Beldum","PLF 50",bw9-50,
"Deoxys-EX","PLF 53",bw9-53,
"Grimer","PLF 45",bw9-45,
"Mr. Mime","PLF 47",bw9-47,
"Nidoran♀","PLF 40",bw9-40,
"Nidoran♂","PLF 43",bw9-43,
"Sableye","PLF 49",bw9-49,
"Sigilyph","PLF 118",bw9-118,
"Yamask","PLF 54",bw9-54,
"Yamask","PLF 55",bw9-55,
"Cofagrigus","PLF 56",bw9-56,
"Cofagrigus","PLF 57",bw9-57,
"Espeon","PLF 48",bw9-48,
"Garbodor","PLF 119",bw9-119,
"Metang","PLF 51",bw9-51,
"Muk","PLF 46",bw9-46,
"Nidorina","PLF 41",bw9-41,
"Nidorino","PLF 44",bw9-44,
"Metagross","PLF 52",bw9-52,
"Nidoqueen","PLF 42",bw9-42,
"Cryogonal","PLF 30",bw9-30,
"Horsea","PLF 18",bw9-18,
"Kyurem","PLF 31",bw9-31,
"Tympole","PLF 24",bw9-24,
"Vanillite","PLF 27",bw9-27,
"Wooper","PLF 21",bw9-21,
"Glaceon","PLF 23",bw9-23,
"Palpitoad","PLF 25",bw9-25,
"Quagsire","PLF 22",bw9-22,
"Seadra","PLF 19",bw9-19,
"Vanillish","PLF 28",bw9-28,
"Vaporeon","PLF 20",bw9-20,
"Empoleon","PLF 117",bw9-117,
"Seismitoad","PLF 26",bw9-26,
"Vanilluxe","PLF 29",bw9-29,
"Float Stone","PLF 99",bw9-99,
"Frozen City","PLF 100",bw9-100,
"Ghetsis","PLF 101",bw9-101,
"Life Dew","PLF 107",bw9-107,
"Max Potion","PLF 121",bw9-121,
"Professor Juniper","PLF 116",bw9-116,
"Shadow Triad","PLF 102",bw9-102,
"Superior Energy Retrieval","PLF 103",bw9-103,
"Team Plasma Badge","PLF 104",bw9-104,
"Team Plasma Ball","PLF 105",bw9-105,
"Ultra Ball","PLF 122",bw9-122,
"Plasma Energy","PLF 106",bw9-106,
"Tornadus-EX","PLF 114",bw9-114,
"Latias-EX","PLF 112",bw9-112,
"Latios-EX","PLF 113",bw9-113,
"Heatran-EX","PLF 109",bw9-109,
"Thundurus-EX","PLF 110",bw9-110,
"Deoxys-EX","PLF 111",bw9-111,
"Ghetsis","PLF 115",bw9-115,
"Rock Guard","PLF 108",bw9-108,
