name,ptcgo,api,notes
"Bouffalant","PLS 114",bw8-114,
"Clefairy","PLS 97",bw8-97,
"Doduo","PLS 99",bw8-99,
"Lugia-EX","PLS 108",bw8-108,
"Patrat","PLS 110",bw8-110,
"Patrat","PLS 111",bw8-111,
"Rufflet","PLS 115",bw8-115,
"Skitty","PLS 109",bw8-109,
"Snorlax","PLS 101",bw8-101,
"Togepi","PLS 102",bw8-102,
"Whismur","PLS 105",bw8-105,
"Braviary","PLS 116",bw8-116,
"Clefable","PLS 98",bw8-98,
"Dodrio","PLS 100",bw8-100,
"Loudred","PLS 106",bw8-106,
"Togetic","PLS 103",bw8-103,
"Watchog","PLS 112",bw8-112,
"Watchog","PLS 113",bw8-113,
"Exploud","PLS 107",bw8-107,
"Togekiss","PLS 104",bw8-104,
"Purrloin","PLS 82",bw8-82,
"Purrloin","PLS 83",bw8-83,
"Scraggy","PLS 85",bw8-85,
"Liepard","PLS 84",bw8-84,
"Scrafty","PLS 86",bw8-86,
"Black Kyurem-EX","PLS 95",bw8-95,
"Druddigon","PLS 94",bw8-94,
"White Kyurem-EX","PLS 96",bw8-96,
"Lunatone","PLS 73",bw8-73,
"Phanpy","PLS 71",bw8-71,
"Riolu","PLS 75",bw8-75,
"Riolu","PLS 76",bw8-76,
"Solrock","PLS 74",bw8-74,
"Timburr","PLS 79",bw8-79,
"Donphan","PLS 72",bw8-72,
"Gurdurr","PLS 80",bw8-80,
"Lucario","PLS 77",bw8-77,
"Lucario","PLS 78",bw8-78,
"Conkeldurr","PLS 81",bw8-81,
"Chimchar","PLS 15",bw8-15,
"Heatmor","PLS 23",bw8-23,
"Litwick","PLS 21",bw8-21,
"Moltres-EX","PLS 14",bw8-14,
"Pansear","PLS 19",bw8-19,
"Victini-EX","PLS 18",bw8-18,
"Lampent","PLS 22",bw8-22,
"Monferno","PLS 16",bw8-16,
"Simisear","PLS 20",bw8-20,
"Charizard","PLS 136",bw8-136,
"Infernape","PLS 17",bw8-17,
"Cherubi","PLS 6",bw8-6,
"Combee","PLS 4",bw8-4,
"Foongus","PLS 12",bw8-12,
"Maractus","PLS 11",bw8-11,
"Sewaddle","PLS 8",bw8-8,
"Turtwig","PLS 1",bw8-1,
"Amoonguss","PLS 13",bw8-13,
"Cherrim","PLS 7",bw8-7,
"Grotle","PLS 2",bw8-2,
"Swadloon","PLS 9",bw8-9,
"Vespiquen","PLS 5",bw8-5,
"Leavanny","PLS 10",bw8-10,
"Torterra","PLS 3",bw8-3,
"Joltik","PLS 50",bw8-50,
"Magnemite","PLS 42",bw8-42,
"Magnemite","PLS 43",bw8-43,
"Rotom","PLS 49",bw8-49,
"Zapdos-EX","PLS 48",bw8-48,
"Galvantula","PLS 51",bw8-51,
"Magneton","PLS 44",bw8-44,
"Magneton","PLS 45",bw8-45,
"Magnezone","PLS 46",bw8-46,
"Magnezone","PLS 47",bw8-47,
"Cobalion-EX","PLS 93",bw8-93,
"Durant","PLS 91",bw8-91,
"Durant","PLS 92",bw8-92,
"Klink","PLS 88",bw8-88,
"Skarmory","PLS 87",bw8-87,
"Klang","PLS 89",bw8-89,
"Klinklang","PLS 90",bw8-90,
"Elgyem","PLS 68",bw8-68,
"Elgyem","PLS 69",bw8-69,
"Giratina","PLS 62",bw8-62,
"Koffing","PLS 56",bw8-56,
"Koffing","PLS 57",bw8-57,
"Ralts","PLS 59",bw8-59,
"Trubbish","PLS 63",bw8-63,
"Trubbish","PLS 64",bw8-64,
"Trubbish","PLS 65",bw8-65,
"Zubat","PLS 52",bw8-52,
"Zubat","PLS 53",bw8-53,
"Beheeyem","PLS 70",bw8-70,
"Garbodor","PLS 66",bw8-66,
"Garbodor","PLS 67",bw8-67,
"Golbat","PLS 54",bw8-54,
"Kirlia","PLS 60",bw8-60,
"Weezing","PLS 58",bw8-58,
"Crobat","PLS 55",bw8-55,
"Gallade","PLS 61",bw8-61,
"Articuno-EX","PLS 25",bw8-25,
"Carvanha","PLS 32",bw8-32,
"Cubchoo","PLS 40",bw8-40,
"Frillish","PLS 38",bw8-38,
"Lotad","PLS 29",bw8-29,
"Manaphy","PLS 34",bw8-34,
"Squirtle","PLS 24",bw8-24,
"Swinub","PLS 26",bw8-26,
"Vanillite","PLS 35",bw8-35,
"Beartic","PLS 41",bw8-41,
"Jellicent","PLS 39",bw8-39,
"Lombre","PLS 30",bw8-30,
"Piloswine","PLS 27",bw8-27,
"Sharpedo","PLS 33",bw8-33,
"Vanillish","PLS 36",bw8-36,
"Blastoise","PLS 137",bw8-137,
"Ludicolo","PLS 31",bw8-31,
"Mamoswine","PLS 28",bw8-28,
"Vanilluxe","PLS 37",bw8-37,
"Bicycle","PLS 117",bw8-117,
"Colress","PLS 118",bw8-118,
"Colress Machine","PLS 119",bw8-119,
"Dowsing Machine","PLS 128",bw8-128,
"Escape Rope","PLS 120",bw8-120,
"Ether","PLS 121",bw8-121,
"Eviolite","PLS 122",bw8-122,
"Hypnotoxic Laser","PLS 123",bw8-123,
"Plasma Frigate","PLS 124",bw8-124,
"Random Receiver","PLS 138",bw8-138,
"Team Plasma Grunt","PLS 125",bw8-125,
"Virbank City Gym","PLS 126",bw8-126,
"Plasma Energy","PLS 127",bw8-127,
"Lugia-EX","PLS 134",bw8-134,
"Victini-EX","PLS 131",bw8-131,
"Cobalion-EX","PLS 133",bw8-133,
"Articuno-EX","PLS 132",bw8-132,
"Colress","PLS 135",bw8-135,
"Scramble Switch","PLS 129",bw8-129,
"Victory Piece","PLS 130",bw8-130,
