name,ptcgo,api,notes
"Axew","PR-BLW 10",bwp-BW10,
"Axew","PR-BLW 26",bwp-BW26,
"Eevee","PR-BLW 94",bwp-BW94,
"Lugia-EX","PR-BLW 83",bwp-BW83,
"Minccino","PR-BLW 13",bwp-BW13,
"Pidove","PR-BLW 15",bwp-BW15,
"Tornadus","PR-BLW 42",bwp-BW42,
"Tornadus-EX","PR-BLW 96",bwp-BW96,
"Porygon-Z","PR-BLW 84",bwp-BW84,
"Darkrai","PR-BLW 73",bwp-BW73,
"Darkrai-EX","PR-BLW 46",bwp-BW46,
"Scraggy","PR-BLW 25",bwp-BW25,
"Zorua","PR-BLW 12",bwp-BW12,
"Umbreon","PR-BLW 93",bwp-BW93,
"Zoroark","PR-BLW 09",bwp-BW09,
"Zoroark","PR-BLW 19",bwp-BW19,
"Black Kyurem","PR-BLW 58",bwp-BW58,
"Black Kyurem-EX","PR-BLW 62",bwp-BW62,
"Druddigon","PR-BLW 80",bwp-BW80,
"Rayquaza-EX","PR-BLW 47",bwp-BW47,
"White Kyurem","PR-BLW 59",bwp-BW59,
"White Kyurem-EX","PR-BLW 63",bwp-BW63,
"Altaria","PR-BLW 48",bwp-BW48,
"Flygon","PR-BLW 53",bwp-BW53,
"Haxorus","PR-BLW 57",bwp-BW57,
"Landorus","PR-BLW 43",bwp-BW43,
"Landorus","PR-BLW 79",bwp-BW79,
"Meloetta","PR-BLW 69",bwp-BW69,
"Riolu","PR-BLW 33",bwp-BW33,
"Terrakion","PR-BLW 71",bwp-BW71,
"Lucario","PR-BLW 85",bwp-BW85,
"Darumaka","PR-BLW 18",bwp-BW18,
"Reshiram","PR-BLW 04",bwp-BW04,
"Reshiram-EX","PR-BLW 36",bwp-BW36,
"Tepig","PR-BLW 02",bwp-BW02,
"Tepig","PR-BLW 07",bwp-BW07,
"Victini","PR-BLW 32",bwp-BW32,
"Ninetales","PR-BLW 66",bwp-BW66,
"Emboar","PR-BLW 21",bwp-BW21,
"Genesect","PR-BLW 86",bwp-BW86,
"Genesect","PR-BLW 99",bwp-BW99,
"Pansage","PR-BLW 11",bwp-BW11,
"Snivy","PR-BLW 01",bwp-BW01,
"Snivy","PR-BLW 06",bwp-BW06,
"Virizion","PR-BLW 70",bwp-BW70,
"Lilligant","PR-BLW 49",bwp-BW49,
"Serperior","PR-BLW 20",bwp-BW20,
"Pikachu","PR-BLW 54",bwp-BW54,
"Thundurus","PR-BLW 41",bwp-BW41,
"Thundurus-EX","PR-BLW 81",bwp-BW81,
"Zekrom","PR-BLW 05",bwp-BW05,
"Zekrom-EX","PR-BLW 38",bwp-BW38,
"Electrode","PR-BLW 76",bwp-BW76,
"Luxio","PR-BLW 34",bwp-BW34,
"Ampharos","PR-BLW 67",bwp-BW67,
"Cobalion","PR-BLW 72",bwp-BW72,
"Deoxys-EX","PR-BLW 82",bwp-BW82,
"Giratina","PR-BLW 74",bwp-BW74,
"Litwick","PR-BLW 27",bwp-BW27,
"Meloetta","PR-BLW 68",bwp-BW68,
"Mew","PR-BLW 98",bwp-BW98,
"Mewtwo-EX","PR-BLW 45",bwp-BW45,
"Drifblim","PR-BLW 64",bwp-BW64,
"Crobat","PR-BLW 51",bwp-BW51,
"Metagross","PR-BLW 75",bwp-BW75,
"Ducklett","PR-BLW 17",bwp-BW17,
"Keldeo-EX","PR-BLW 61",bwp-BW61,
"Kyurem","PR-BLW 44",bwp-BW44,
"Kyurem-EX","PR-BLW 37",bwp-BW37,
"Oshawott","PR-BLW 03",bwp-BW03,
"Oshawott","PR-BLW 08",bwp-BW08,
"Empoleon","PR-BLW 56",bwp-BW56,
"Samurott","PR-BLW 22",bwp-BW22,
"Battle City","PR-BLW 39",bwp-BW39,
"Champions Festival","PR-BLW 95",bwp-BW95,
"N","PR-BLW 100",bwp-BW100,
"Tropical Beach","PR-BLW 28",bwp-BW28,
"Reshiram","PR-BLW 23",bwp-BW23,
"Genesect","PR-BLW 101",bwp-BW101,
"Pansage","PR-BLW 14",bwp-BW14,
"Zekrom","PR-BLW 24",bwp-BW24,
"Tropical Beach","PR-BLW 50",bwp-BW50,
