name,ptcgo,api,notes
"Audino","TK-Excadrill 12",bw1-87,functionally-same
"Lillipup","TK-Excadrill 1",bw1-80,functionally-same
"Herdier","TK-Excadrill 19",bw1-82,functionally-same
"Drilbur","TK-Excadrill 13",bw2-54,functionally-same
"Timburr","TK-Excadrill 11",bw1-58,functionally-same
"Excadrill","TK-Excadrill 17",bw2-56,functionally-same
"Gurdurr","TK-Excadrill 14",bw1-60,functionally-same
"Audino","TK-Excadrill 18",bw1-87,functionally-same
"Lillipup","TK-Excadrill 27",bw1-80,functionally-same
"Drilbur","TK-Excadrill 25",bw2-54,functionally-same
"Timburr","TK-Excadrill 29",bw1-58,functionally-same
"Excadrill","TK-Excadrill 30",bw2-56,functionally-same
"Energy Search","TK-Excadrill 21",bw1-93,functionally-same
"Energy Switch","TK-Excadrill 4",bw11-112,functionally-same
"Potion","TK-Excadrill 15",bw1-100,functionally-same
"Pokémon Communication","TK-Excadrill 24",bw1-99,functionally-same
"PlusPower","TK-Excadrill 16",bw1-96,functionally-same
"Potion","TK-Excadrill 23",bw1-100,functionally-same
"Fighting Energy","TK-Excadrill 2",bw1-110,functionally-same
