name,ptcgo,api,notes
"Minccino","TK-Zoroark 4",bw1-88,functionally-same
"Minccino","TK-Zoroark 19",bw1-88,functionally-same
"Patrat","TK-Zoroark 12",bw1-77,functionally-same
"Patrat","TK-Zoroark 29",bw1-77,functionally-same
"Pidove","TK-Zoroark 14",bw1-84,functionally-same
"Pidove","TK-Zoroark 21",bw1-84,functionally-same
"Tranquill","TK-Zoroark 15",bw1-85,functionally-same
"Purrloin","TK-Zoroark 1",bw1-66,functionally-same
"Purrloin","TK-Zoroark 25",bw1-66,functionally-same
"Zorua","TK-Zoroark 13",bw1-70,functionally-same
"Zorua","TK-Zoroark 23",bw1-70,functionally-same
"Zoroark","TK-Zoroark 17",bw1-67,functionally-same
"Zoroark","TK-Zoroark 30",bw1-67,functionally-same
"Watchog","TK-Zoroark 2",bw1-79,functionally-same
"Energy Retrieval","TK-Zoroark 16",bw1-92,functionally-same
"Energy Search","TK-Zoroark 27",bw1-93,functionally-same
"PlusPower","TK-Zoroark 11",bw1-96,functionally-same
"Pokémon Communication","TK-Zoroark 18",bw1-99,functionally-same
"Darkness Energy","TK-Zoroark 3",bw1-111,functionally-same
