name,ptcgo,api,notes
"Chansey","HS 58",hgss1-58,
"Clefairy","HS 60",hgss1-60,
"Cleffa","HS 17",hgss1-17,
"Dunsparce","HS 41",hgss1-41,
"Farfetch'd","HS 19",hgss1-19,
"Girafarig","HS 64",hgss1-64,
"Hoothoot","HS 66",hgss1-66,
"Igglybuff","HS 44",hgss1-44,
"Jigglypuff","HS 68",hgss1-68,
"Meowth","HS 75",hgss1-75,
"Miltank","HS 47",hgss1-47,
"Sentret","HS 80",hgss1-80,
"Snubbull","HS 82",hgss1-82,
"Blissey","HS 36",hgss1-36,
"Blissey","HS 106",hgss1-106,
"Clefable","HS 3",hgss1-3,
"Furret","HS 21",hgss1-21,
"Granbull","HS 22",hgss1-22,
"Noctowl","HS 8",hgss1-8,
"Persian","HS 27",hgss1-27,
"Wigglytuff","HS 56",hgss1-56,
"Hitmontop","HS 5",hgss1-5,
"Phanpy","HS 77",hgss1-77,
"Sandshrew","HS 79",hgss1-79,
"Tyrogue","HS 33",hgss1-33,
"Donphan","HS 40",hgss1-40,
"Donphan","HS 107",hgss1-107,
"Sandslash","HS 29",hgss1-29,
"Cyndaquil","HS 61",hgss1-61,
"Growlithe","HS 65",hgss1-65,
"Vulpix","HS 87",hgss1-87,
"Arcanine","HS 1",hgss1-1,
"Ninetales","HS 7",hgss1-7,
"Quilava","HS 49",hgss1-49,
"Typhlosion","HS 32",hgss1-32,
"Typhlosion","HS 110",hgss1-110,
"Caterpie","HS 57",hgss1-57,
"Chikorita","HS 59",hgss1-59,
"Heracross","HS 43",hgss1-43,
"Hoppip","HS 67",hgss1-67,
"Ledyba","HS 71",hgss1-71,
"Paras","HS 76",hgss1-76,
"Shuckle","HS 11",hgss1-11,
"Spinarak","HS 83",hgss1-83,
"Sunkern","HS 85",hgss1-85,
"Ariados","HS 15",hgss1-15,
"Bayleef","HS 35",hgss1-35,
"Ledian","HS 25",hgss1-25,
"Metapod","HS 46",hgss1-46,
"Parasect","HS 48",hgss1-48,
"Skiploom","HS 51",hgss1-51,
"Sunflora","HS 31",hgss1-31,
"Butterfree","HS 16",hgss1-16,
"Jumpluff","HS 6",hgss1-6,
"Meganium","HS 26",hgss1-26,
"Meganium","HS 109",hgss1-109,
"Mareep","HS 73",hgss1-73,
"Pichu","HS 28",hgss1-28,
"Pikachu","HS 78",hgss1-78,
"Flaaffy","HS 42",hgss1-42,
"Raichu","HS 10",hgss1-10,
"Ampharos","HS 14",hgss1-14,
"Ampharos","HS 105",hgss1-105,
"Drowzee","HS 62",hgss1-62,
"Exeggcute","HS 63",hgss1-63,
"Jynx","HS 69",hgss1-69,
"Koffing","HS 70",hgss1-70,
"Smoochum","HS 30",hgss1-30,
"Unown","HS 54",hgss1-54,
"Unown","HS 55",hgss1-55,
"Wobbuffet","HS 13",hgss1-13,
"Exeggutor","HS 18",hgss1-18,
"Hypno","HS 23",hgss1-23,
"Slowking","HS 12",hgss1-12,
"Weezing","HS 34",hgss1-34,
"Corsola","HS 37",hgss1-37,
"Delibird","HS 39",hgss1-39,
"Lapras","HS 24",hgss1-24,
"Magikarp","HS 72",hgss1-72,
"Mantine","HS 45",hgss1-45,
"Marill","HS 74",hgss1-74,
"Qwilfish","HS 50",hgss1-50,
"Slowpoke","HS 81",hgss1-81,
"Staryu","HS 84",hgss1-84,
"Totodile","HS 86",hgss1-86,
"Wooper","HS 88",hgss1-88,
"Azumarill","HS 2",hgss1-2,
"Croconaw","HS 38",hgss1-38,
"Gyarados","HS 4",hgss1-4,
"Gyarados","HS 123",hgss1-123,
"Quagsire","HS 9",hgss1-9,
"Slowbro","HS 52",hgss1-52,
"Starmie","HS 53",hgss1-53,
"Feraligatr","HS 20",hgss1-20,
"Feraligatr","HS 108",hgss1-108,
"Ho-Oh LEGEND (#111)","HS 111",hgss1-111,
"Ho-Oh LEGEND (#112)","HS 112",hgss1-112,
"Lugia LEGEND (#113)","HS 113",hgss1-113,
"Lugia LEGEND (#114)","HS 114",hgss1-114,
"Alph Lithograph","HS 124",hgss1-ONE,
"Bill","HS 89",hgss1-89,
"Copycat","HS 90",hgss1-90,
"Energy Switch","HS 91",hgss1-91,
"Fisherman","HS 92",hgss1-92,
"Full Heal","HS 93",hgss1-93,
"Moomoo Milk","HS 94",hgss1-94,
"Poké Ball","HS 95",hgss1-95,
"Pokégear3.0","HS 96",hgss1-96,
"Pokémon Collector","HS 97",hgss1-97,
"Pokémon Communication","HS 98",hgss1-98,
"Pokémon Reversal","HS 99",hgss1-99,
"Professor Elm's Training Method","HS 100",hgss1-100,
"Professor Oak's New Theory","HS 101",hgss1-101,
"Switch","HS 102",hgss1-102,
"Darkness Energy","HS 121",hgss1-121,
"Double Colorless Energy","HS 103",hgss1-103,
"Fighting Energy","HS 120",hgss1-120,
"Fire Energy","HS 116",hgss1-116,
"Grass Energy","HS 115",hgss1-115,
"Lightning Energy","HS 118",hgss1-118,
"Metal Energy","HS 122",hgss1-122,
"Psychic Energy","HS 119",hgss1-119,
"Rainbow Energy","HS 104",hgss1-104,
"Water Energy","HS 117",hgss1-117,
