name,ptcgo,api,notes
"Clefairy","CL 54",col1-54,
"Cleffa","CL 24",col1-24,
"Eevee","CL 56",col1-56,
"Pidgey","CL 67",col1-67,
"Rayquaza","CL 20",col1-20,
"Smeargle","CL 21",col1-21,
"Snorlax","CL 33",col1-33,
"Snubbull","CL 71",col1-71,
"Teddiursa","CL 73",col1-73,
"Zangoose","CL 39",col1-39,
"Clefable","CL 1",col1-1,
"Granbull","CL 26",col1-26,
"Pidgeotto","CL 48",col1-48,
"Ursaring","CL 37",col1-37,
"Pidgeot","CL 30",col1-30,
"Houndour","CL 59",col1-59,
"Houndoom","CL 10",col1-10,
"Umbreon","CL 22",col1-22,
"Groudon","CL 6",col1-6,
"Hitmonchan","CL 57",col1-57,
"Hitmonlee","CL 58",col1-58,
"Hitmontop","CL 8",col1-8,
"Phanpy","CL 66",col1-66,
"Riolu","CL 50",col1-50,
"Tyrogue","CL 36",col1-36,
"Donphan","CL 42",col1-42,
"Lucario","CL 14",col1-14,
"Cyndaquil","CL 55",col1-55,
"Entei","CL 98",col1-SL3,
"Ho-Oh","CL 9",col1-9,
"Magby","CL 46",col1-46,
"Magmar","CL 62",col1-62,
"Vulpix","CL 75",col1-75,
"Flareon","CL 44",col1-44,
"Magmortar","CL 16",col1-16,
"Ninetales","CL 17",col1-17,
"Quilava","CL 49",col1-49,
"Typhlosion","CL 35",col1-35,
"Chikorita","CL 53",col1-53,
"Pineco","CL 68",col1-68,
"Tangela","CL 72",col1-72,
"Bayleef","CL 40",col1-40,
"Leafeon","CL 13",col1-13,
"Tangrowth","CL 34",col1-34,
"Meganium","CL 27",col1-27,
"Mareep","CL 63",col1-63,
"Pachirisu","CL 18",col1-18,
"Raikou","CL 104",col1-SL9,
"Flaaffy","CL 43",col1-43,
"Jolteon","CL 45",col1-45,
"Ampharos","CL 23",col1-23,
"Dialga","CL 3",col1-3,
"Mawile","CL 64",col1-64,
"Skarmory","CL 31",col1-31,
"Forretress","CL 5",col1-5,
"Deoxys","CL 2",col1-2,
"Jirachi","CL 11",col1-11,
"Koffing","CL 60",col1-60,
"Mime Jr.","CL 47",col1-47,
"Misdreavus","CL 65",col1-65,
"Mr. Mime","CL 29",col1-29,
"Seviper","CL 51",col1-51,
"Espeon","CL 4",col1-4,
"Mismagius","CL 28",col1-28,
"Slowking","CL 32",col1-32,
"Weezing","CL 38",col1-38,
"Kyogre","CL 12",col1-12,
"Lugia","CL 15",col1-15,
"Magikarp","CL 61",col1-61,
"Palkia","CL 19",col1-19,
"Relicanth","CL 69",col1-69,
"Slowpoke","CL 70",col1-70,
"Suicune","CL 106",col1-SL11,
"Totodile","CL 74",col1-74,
"Croconaw","CL 41",col1-41,
"Gyarados","CL 7",col1-7,
"Vaporeon","CL 52",col1-52,
"Feraligatr","CL 25",col1-25,
"Cheerleader's Cheer","CL 76",col1-76,
"Copycat","CL 77",col1-77,
"Dual Ball","CL 78",col1-78,
"Interviewer's Questions","CL 79",col1-79,
"Lost Remover","CL 80",col1-80,
"Lost World","CL 81",col1-81,
"Professor Elm's Training Method","CL 82",col1-82,
"Professor Oak's New Theory","CL 83",col1-83,
"Research Record","CL 84",col1-84,
"Sage's Training","CL 85",col1-85,
"Darkness Energy","CL 86",col1-86,
"Darkness Energy","CL 94",col1-94,
"Fighting Energy","CL 93",col1-93,
"Fire Energy","CL 89",col1-89,
"Grass Energy","CL 88",col1-88,
"Lightning Energy","CL 91",col1-91,
"Metal Energy","CL 87",col1-87,
"Metal Energy","CL 95",col1-95,
"Psychic Energy","CL 92",col1-92,
"Water Energy","CL 90",col1-90,
"Rayquaza","CL 105",col1-SL10,
"Kyogre","CL 101",col1-SL6,
"Lugia","CL 102",col1-SL7,
"Palkia","CL 103",col1-SL8,
"Groudon","CL 99",col1-SL4,
"Ho-Oh","CL 100",col1-SL5,
"Dialga","CL 97",col1-SL2,
"Deoxys","CL 96",col1-SL1,
