name,ptcgo,api,notes
Cleffa,"PR-HS 12",hsp-HGSS12,
Entei,"PR-HS 20",hsp-HGSS20,no-image
Feraligatr,"PR-HS 07",hsp-HGSS07,
Hitmonchan,"PR-HS 24",hsp-HGSS24,no-image
Hitmonlee,"PR-HS 25",hsp-HGSS25,no-image
Ho-Oh,"PR-HS 01",hsp-HGSS01,
Hoothoot,"PR-HS 05",hsp-HGSS05,
Lapras,"PR-HS 14",hsp-HGSS14,
Latias,"PR-HS 10",hsp-HGSS10,
Latios,"PR-HS 11",hsp-HGSS11,
Lugia,"PR-HS 02",hsp-HGSS02,
Meganium,"PR-HS 08",hsp-HGSS08,
Minun,"PR-HS 17",hsp-HGSS17,no-image
Noctowl,"PR-HS 06",hsp-HGSS06,
Pikachu,"PR-HS 03",hsp-HGSS03,
Plusle,"PR-HS 16",hsp-HGSS16,
Porygon,"PR-HS 22",hsp-HGSS22,no-image
Porygon2,"PR-HS 23",hsp-HGSS23,no-image
Raikou,"PR-HS 19",hsp-HGSS19,no-image
Shuckle,"PR-HS 15",hsp-HGSS15,
Smoochum,"PR-HS 13",hsp-HGSS13,
Suicune,"PR-HS 21",hsp-HGSS21,no-image
Typhlosion,"PR-HS 09",hsp-HGSS09,
Wobbuffet,"PR-HS 04",hsp-HGSS04,
