name,ptcgo,api,notes
"Aipom","TM 55",hgss4-55,
"Ditto","TM 17",hgss4-17,
"Dratini","TM 62",hgss4-62,
"Kangaskhan","TM 36",hgss4-36,
"Lickitung","TM 66",hgss4-66,
"Pidgey","TM 71",hgss4-71,
"Porygon","TM 73",hgss4-73,
"Swablu","TM 78",hgss4-78,
"Altaria","TM 2",hgss4-2,
"Ambipom","TM 13",hgss4-13,
"Dragonair","TM 32",hgss4-32,
"Lickilicky","TM 38",hgss4-38,
"Pidgeotto","TM 47",hgss4-47,
"Porygon2","TM 49",hgss4-49,
"Dragonite","TM 18",hgss4-18,
"Pidgeot","TM 29",hgss4-29,
"Porygon-Z","TM 7",hgss4-7,
"Absol","TM 91",hgss4-91,
"Carvanha","TM 59",hgss4-59,
"Drapion","TM 4",hgss4-4,
"Sharpedo","TM 30",hgss4-30,
"Cubone","TM 60",hgss4-60,
"Diglett","TM 61",hgss4-61,
"Lunatone","TM 25",hgss4-25,
"Machop","TM 67",hgss4-67,
"Solrock","TM 9",hgss4-9,
"Dugtrio","TM 19",hgss4-19,
"Machoke","TM 40",hgss4-40,
"Marowak","TM 44",hgss4-44,
"Machamp","TM 26",hgss4-26,
"Machamp","TM 95",hgss4-95,
"Nidoking","TM 6",hgss4-6,
"Magby","TM 41",hgss4-41,
"Magmar","TM 42",hgss4-42,
"Ponyta","TM 72",hgss4-72,
"Magmortar","TM 27",hgss4-27,
"Rapidash","TM 8",hgss4-8,
"Bellsprout","TM 57",hgss4-57,
"Carnivine","TM 16",hgss4-16,
"Celebi","TM 92",hgss4-92,
"Illumise","TM 64",hgss4-64,
"Kricketot","TM 65",hgss4-65,
"Venonat","TM 81",hgss4-81,
"Volbeat","TM 82",hgss4-82,
"Yanma","TM 84",hgss4-84,
"Kricketune","TM 24",hgss4-24,
"Venomoth","TM 11",hgss4-11,
"Weepinbell","TM 53",hgss4-53,
"Yanmega","TM 54",hgss4-54,
"Yanmega","TM 98",hgss4-98,
"Victreebel","TM 12",hgss4-12,
"Electabuzz","TM 33",hgss4-33,
"Elekid","TM 21",hgss4-21,
"Magnemite","TM 68",hgss4-68,
"Voltorb","TM 83",hgss4-83,
"Electivire","TM 20",hgss4-20,
"Electrode","TM 34",hgss4-34,
"Electrode","TM 93",hgss4-93,
"Magneton","TM 43",hgss4-43,
"Magnezone","TM 96",hgss4-96,
"Aron","TM 56",hgss4-56,
"Bronzor","TM 58",hgss4-58,
"Bronzong","TM 15",hgss4-15,
"Lairon","TM 37",hgss4-37,
"Aggron","TM 1",hgss4-1,
"Celebi","TM 3",hgss4-3,
"Gastly","TM 63",hgss4-63,
"Mew","TM 97",hgss4-97,
"Nidoran♀","TM 69",hgss4-69,
"Nidoran♂","TM 70",hgss4-70,
"Shuppet","TM 75",hgss4-75,
"Skorupi","TM 76",hgss4-76,
"Spiritomb","TM 10",hgss4-10,
"Spoink","TM 77",hgss4-77,
"Unown","TM 51",hgss4-51,
"Banette","TM 14",hgss4-14,
"Grumpig","TM 23",hgss4-23,
"Haunter","TM 35",hgss4-35,
"Nidorina","TM 45",hgss4-45,
"Nidorino","TM 46",hgss4-46,
"Gengar","TM 94",hgss4-94,
"Nidoqueen","TM 28",hgss4-28,
"Luvdisc","TM 39",hgss4-39,
"Psyduck","TM 74",hgss4-74,
"Swinub","TM 79",hgss4-79,
"Tentacool","TM 80",hgss4-80,
"Wailmer","TM 52",hgss4-52,
"Golduck","TM 22",hgss4-22,
"Piloswine","TM 48",hgss4-48,
"Tentacruel","TM 50",hgss4-50,
"Wailord","TM 31",hgss4-31,
"Mamoswine","TM 5",hgss4-5,
"Darkrai & Cresselia LEGEND (#100)","TM 100",hgss4-100,
"Darkrai & Cresselia LEGEND (#99)","TM 99",hgss4-99,
"Palkia & Dialga LEGEND (#101)","TM 101",hgss4-101,
"Palkia & Dialga LEGEND (#102)","TM 102",hgss4-102,
"Alph Lithograph","TM 103",hgss4-FOUR,
"Black Belt","TM 85",hgss4-85,
"Indigo Plateau","TM 86",hgss4-86,
"Junk Arm","TM 87",hgss4-87,
"Seeker","TM 88",hgss4-88,
"Twins","TM 89",hgss4-89,
"Rescue Energy","TM 90",hgss4-90,
