name,ptcgo,api,notes
"Doduo","UD 45",hgss3-45,
"Eevee","UD 47",hgss3-47,
"Eevee","UD 48",hgss3-48,
"Rattata","UD 64",hgss3-64,
"Smeargle","UD 8",hgss3-8,
"Togepi","UD 70",hgss3-70,
"Dodrio","UD 11",hgss3-11,
"Raticate","UD 34",hgss3-34,
"Togetic","UD 39",hgss3-39,
"Togekiss","UD 9",hgss3-9,
"Houndour","UD 53",hgss3-53,
"Houndour","UD 54",hgss3-54,
"Murkrow","UD 58",hgss3-58,
"Murkrow","UD 59",hgss3-59,
"Sableye","UD 35",hgss3-35,
"Sneasel","UD 68",hgss3-68,
"Stunky","UD 69",hgss3-69,
"Honchkrow","UD 15",hgss3-15,
"Honchkrow","UD 16",hgss3-16,
"Houndoom","UD 5",hgss3-5,
"Houndoom","UD 82",hgss3-82,
"Skuntank","UD 37",hgss3-37,
"Umbreon","UD 10",hgss3-10,
"Umbreon","UD 86",hgss3-86,
"Weavile","UD 25",hgss3-25,
"Gligar","UD 49",hgss3-49,
"Hitmonchan","UD 51",hgss3-51,
"Hitmonlee","UD 52",hgss3-52,
"Makuhita","UD 55",hgss3-55,
"Gliscor","UD 4",hgss3-4,
"Hariyama","UD 14",hgss3-14,
"Slugma","UD 67",hgss3-67,
"Flareon","UD 26",hgss3-26,
"Magcargo","UD 6",hgss3-6,
"Combee","UD 44",hgss3-44,
"Oddish","UD 60",hgss3-60,
"Pineco","UD 62",hgss3-62,
"Pineco","UD 63",hgss3-63,
"Pinsir","UD 32",hgss3-32,
"Scyther","UD 36",hgss3-36,
"Scyther","UD 65",hgss3-65,
"Tropius","UD 22",hgss3-22,
"Gloom","UD 27",hgss3-27,
"Leafeon","UD 17",hgss3-17,
"Vespiquen","UD 23",hgss3-23,
"Bellossom","UD 1",hgss3-1,
"Vileplume","UD 24",hgss3-24,
"Pikachu","UD 61",hgss3-61,
"Rotom","UD 20",hgss3-20,
"Jolteon","UD 28",hgss3-28,
"Raichu","UD 33",hgss3-33,
"Raichu","UD 83", hgss3-83,
"Aron","UD 42",hgss3-42,
"Beldum","UD 43",hgss3-43,
"Mawile","UD 56",hgss3-56,
"Skarmory","UD 21",hgss3-21,
"Forretress","UD 3",hgss3-3,
"Forretress","UD 13",hgss3-13,
"Lairon","UD 29",hgss3-29,
"Metang","UD 30",hgss3-30,
"Scizor","UD 7",hgss3-7,
"Scizor","UD 84",hgss3-84,
"Metagross","UD 18",hgss3-18,
"Drifloon","UD 46",hgss3-46,
"Grimer","UD 50",hgss3-50,
"Misdreavus","UD 57",hgss3-57,
"Unown","UD 40",hgss3-40,
"Drifblim","UD 12",hgss3-12,
"Espeon","UD 2",hgss3-2,
"Espeon","UD 81",hgss3-81,
"Mismagius","UD 19",hgss3-19,
"Muk","UD 31",hgss3-31,
"Slowking","UD 85",hgss3-85,
"Slowpoke","UD 66",hgss3-66,
"Slowbro","UD 38",hgss3-38,
"Vaporeon","UD 41",hgss3-41,
"Rayquaza & Deoxys LEGEND (#89)","UD 89",hgss3-89,
"Rayquaza & Deoxys LEGEND (#90)","UD 90",hgss3-90,
"Kyogre & Groudon LEGEND (#87)","UD 87",hgss3-87,
"Kyogre & Groudon LEGEND (#88)","UD 88",hgss3-88,
"Alph Lithograph","UD 91",hgss3-THREE,
"Burned Tower","UD 71",hgss3-71,
"Defender","UD 72",hgss3-72,
"Energy Exchanger","UD 73",hgss3-73,
"Flower Shop Lady","UD 74",hgss3-74,
"Legend Box","UD 75",hgss3-75,
"Ruins of Alph","UD 76",hgss3-76,
"Sage's Training","UD 77",hgss3-77,
"Team Rocket's Trickery","UD 78",hgss3-78,
"Darkness Energy","UD 79",hgss3-79,
"Metal Energy","UD 80",hgss3-80,
