name,ptcgo,api,notes
"Aipom","UL 43",hgss2-43,
"Dunsparce","UL 29",hgss2-29,
"Spearow","UL 62",hgss2-62,
"Stantler","UL 64",hgss2-64,
"Tauros","UL 41",hgss2-41,
"Teddiursa","UL 65",hgss2-65,
"Fearow","UL 15",hgss2-15,
"Ursaring","UL 27",hgss2-27,
"Ursaring","UL 89",hgss2-89,
"Tyranitar","UL 26",hgss2-26,
"Tyranitar","UL 88",hgss2-88,
"Larvitar","UL 50",hgss2-50,
"Larvitar","UL 51",hgss2-51,
"Mankey","UL 53",hgss2-53,
"Onix","UL 56",hgss2-56,
"Onix","UL 57",hgss2-57,
"Riolu","UL 60",hgss2-60,
"Sudowoodo","UL 9",hgss2-9,
"Lucario","UL 19",hgss2-19,
"Primeape","UL 22",hgss2-22,
"Pupitar","UL 38",hgss2-38,
"Pupitar","UL 39",hgss2-39,
"Magmar","UL 52",hgss2-52,
"Numel","UL 35",hgss2-35,
"Torkoal","UL 25",hgss2-25,
"Vulpix","UL 68",hgss2-68,
"Magmortar","UL 2",hgss2-2,
"Ninetales","UL 20",hgss2-20,
"Carnivine","UL 46",hgss2-46,
"Cherubi","UL 47",hgss2-47,
"Roselia","UL 61",hgss2-61,
"Shaymin","UL 8",hgss2-8,
"Tropius","UL 66",hgss2-66,
"Turtwig","UL 67",hgss2-67,
"Weedle","UL 69",hgss2-69,
"Cherrim","UL 28",hgss2-28,
"Grotle","UL 31",hgss2-31,
"Kakuna","UL 32",hgss2-32,
"Roserade","UL 23",hgss2-23,
"Beedrill","UL 12",hgss2-12,
"Torterra","UL 10",hgss2-10,
"Chinchou","UL 48",hgss2-48,
"Minun","UL 34",hgss2-34,
"Plusle","UL 36",hgss2-36,
"Lanturn","UL 18",hgss2-18,
"Lanturn","UL 86",hgss2-86,
"Steelix","UL 24",hgss2-24,
"Steelix","UL 87",hgss2-87,
"Beldum","UL 44",hgss2-44,
"Jirachi","UL 1",hgss2-1,
"Misdreavus","UL 54",hgss2-54,
"Natu","UL 55",hgss2-55,
"Zubat","UL 70",hgss2-70,
"Golbat","UL 30",hgss2-30,
"Metang","UL 33",hgss2-33,
"Mismagius","UL 5",hgss2-5,
"Xatu","UL 11",hgss2-11,
"Crobat","UL 14",hgss2-14,
"Crobat","UL 84",hgss2-84,
"Metagross","UL 4",hgss2-4,
"Buizel","UL 45",hgss2-45,
"Horsea","UL 49",hgss2-49,
"Manaphy","UL 3",hgss2-3,
"Poliwag","UL 58",hgss2-58,
"Remoraid","UL 59",hgss2-59,
"Squirtle","UL 63",hgss2-63,
"Floatzel","UL 16",hgss2-16,
"Octillery","UL 6",hgss2-6,
"Poliwhirl","UL 37",hgss2-37,
"Seadra","UL 40",hgss2-40,
"Wartortle","UL 42",hgss2-42,
"Blastoise","UL 13",hgss2-13,
"Kingdra","UL 17",hgss2-17,
"Kingdra","UL 85",hgss2-85,
"Politoed","UL 7",hgss2-7,
"Poliwrath","UL 21",hgss2-21,
"Entei & Raikou LEGEND (#90)","UL 90",hgss2-90,
"Entei & Raikou LEGEND (#91)","UL 91",hgss2-91,
"Suicune & Entei LEGEND (#94)","UL 94",hgss2-94,
"Suicune & Entei LEGEND (#95)","UL 95",hgss2-95,
"Raikou & Suicune LEGEND (#92)","UL 92",hgss2-92,
"Raikou & Suicune LEGEND (#93)","UL 93",hgss2-93,
"Alph Lithograph","UL 96",hgss2-TWO,
"Cheerleader's Cheer","UL 71",hgss2-71,
"Dual Ball","UL 72",hgss2-72,
"Emcee's Chatter","UL 73",hgss2-73,
"Energy Returner","UL 74",hgss2-74,
"Engineer's Adjustments","UL 75",hgss2-75,
"Good Rod","UL 76",hgss2-76,
"Interviewer's Questions","UL 77",hgss2-77,
"Judge","UL 78",hgss2-78,
"Life Herb","UL 79",hgss2-79,
"PlusPower","UL 80",hgss2-80,
"Pokémon Circulator","UL 81",hgss2-81,
"Rare Candy","UL 82",hgss2-82,
"Super Scoop Up","UL 83",hgss2-83,
