name,ptcgo,api,notes
"Delibird","RSP 14",bw7-38,functionally-same
"Champions Festival","RSP 01",xyp-XY176,functionally-same
"Champions Festival","RSP 02",xyp-XY91,functionally-same
"Champions Festival","RSP 03",xyp-XY91,functionally-same
"Champions Festival","RSP 04",xyp-XY176,functionally-same
"Champions Festival","RSP 05",xyp-XY91,functionally-same
"Champions Festival","RSP 06",xyp-XY91,functionally-same
"Champions Festival","RSP 07",xyp-XY91,functionally-same
"Champions Festival","RSP 08",xyp-XY27,functionally-same
"Champions Festival","RSP 09",xyp-XY27,functionally-same
"Champions Festival","RSP 10",xyp-XY27,functionally-same
"Champions Festival","RSP 11",xyp-XY27,functionally-same
"Champions Festival","RSP 12",xyp-XY27,functionally-same
"Champions Festival","RSP 13",xyp-XY27,functionally-same
