name,ptcgo,api,notes
"Cramorant V","SSH 155",swsh1-155,
"Drampa","SSH 149",swsh1-149,
"Hoothoot","SSH 143",swsh1-143,
"Minccino","SSH 145",swsh1-145,
"Minccino","SSH 146",swsh1-146,
"Oranguru","SSH 148",swsh1-148,
"Rookidee","SSH 150",swsh1-150,
"Snorlax","SSH 140",swsh1-140,
"Snorlax V","SSH 141",swsh1-141,
"Wooloo","SSH 152",swsh1-152,
"Wooloo","SSH 153",swsh1-153,
"Cinccino","SSH 147",swsh1-147,
"Corvisquire","SSH 151",swsh1-151,
"Dubwool","SSH 154",swsh1-154,
"Noctowl","SSH 144",swsh1-144,
"Snorlax VMAX","SSH 142",swsh1-142,
"Croagunk","SSH 123",swsh1-123,
"Galarian Zigzagoon","SSH 117",swsh1-117,
"Nickit","SSH 125",swsh1-125,
"Sableye V","SSH 120",swsh1-120,
"Skorupi","SSH 121",swsh1-121,
"Drapion","SSH 122",swsh1-122,
"Galarian Linoone","SSH 118",swsh1-118,
"Thievul","SSH 126",swsh1-126,
"Toxicroak","SSH 124",swsh1-124,
"Galarian Obstagoon","SSH 119",swsh1-119,
"Baltoy","SSH 101",swsh1-101,
"Baltoy","SSH 102",swsh1-102,
"Clobbopus","SSH 111",swsh1-111,
"Clobbopus","SSH 112",swsh1-112,
"Diglett","SSH 92",swsh1-92,
"Hitmonchan","SSH 95",swsh1-95,
"Hitmonlee","SSH 94",swsh1-94,
"Mudbray","SSH 105",swsh1-105,
"Regirock V","SSH 104",swsh1-104,
"Rhyhorn","SSH 96",swsh1-96,
"Rhyhorn","SSH 97",swsh1-97,
"Silicobra","SSH 107",swsh1-107,
"Silicobra","SSH 108",swsh1-108,
"Stonjourner","SSH 114",swsh1-114,
"Stonjourner V","SSH 115",swsh1-115,
"Sudowoodo","SSH 100",swsh1-100,
"Claydol","SSH 103",swsh1-103,
"Dugtrio","SSH 93",swsh1-93,
"Grapploct","SSH 113",swsh1-113,
"Mudsdale","SSH 106",swsh1-106,
"Rhydon","SSH 98",swsh1-98,
"Sandaconda","SSH 109",swsh1-109,
"Sandaconda","SSH 110",swsh1-110,
"Rhyperior","SSH 99",swsh1-99,
"Stonjourner VMAX","SSH 116",swsh1-116,
"Heatmor","SSH 26",swsh1-26,
"Salandit","SSH 27",swsh1-27,
"Scorbunny","SSH 30",swsh1-30,
"Scorbunny","SSH 31",swsh1-31,
"Sizzlipede","SSH 37",swsh1-37,
"Sizzlipede","SSH 38",swsh1-38,
"Torkoal V","SSH 24",swsh1-24,
"Turtonator","SSH 29",swsh1-29,
"Victini V","SSH 25",swsh1-25,
"Vulpix","SSH 22",swsh1-22,
"Centiskorch","SSH 39",swsh1-39,
"Ninetales","SSH 23",swsh1-23,
"Raboot","SSH 32",swsh1-32,
"Raboot","SSH 33",swsh1-33,
"Salazzle","SSH 28",swsh1-28,
"Cinderace","SSH 34",swsh1-34,
"Cinderace","SSH 35",swsh1-35,
"Cinderace","SSH 36",swsh1-36,
"Blipbug","SSH 16",swsh1-16,
"Blipbug","SSH 17",swsh1-17,
"Celebi V","SSH 1",swsh1-1,
"Cottonee","SSH 5",swsh1-5,
"Dhelmise V","SSH 9",swsh1-9,
"Durant","SSH 8",swsh1-8,
"Gossifleur","SSH 20",swsh1-20,
"Grookey","SSH 10",swsh1-10,
"Grookey","SSH 11",swsh1-11,
"Maractus","SSH 7",swsh1-7,
"Roselia","SSH 2",swsh1-2,
"Roselia","SSH 3",swsh1-3,
"Dottler","SSH 18",swsh1-18,
"Eldegoss","SSH 21",swsh1-21,
"Roserade","SSH 4",swsh1-4,
"Thwackey","SSH 12",swsh1-12,
"Thwackey","SSH 13",swsh1-13,
"Whimsicott","SSH 6",swsh1-6,
"Orbeetle","SSH 19",swsh1-19,
"Rillaboom","SSH 14",swsh1-14,
"Rillaboom","SSH 15",swsh1-15,
"Chinchou","SSH 67",swsh1-67,
"Chinchou","SSH 68",swsh1-68,
"Joltik","SSH 70",swsh1-70,
"Morpeko","SSH 78",swsh1-78,
"Morpeko V","SSH 79",swsh1-79,
"Pikachu","SSH 65",swsh1-65,
"Pincurchin","SSH 77",swsh1-77,
"Tapu Koko V","SSH 72",swsh1-72,
"Yamper","SSH 73",swsh1-73,
"Yamper","SSH 74",swsh1-74,
"Boltund","SSH 75",swsh1-75,
"Boltund","SSH 76",swsh1-76,
"Galvantula","SSH 71",swsh1-71,
"Lanturn","SSH 69",swsh1-69,
"Raichu","SSH 66",swsh1-66,
"Morpeko VMAX","SSH 80",swsh1-80,
"Cufant","SSH 136",swsh1-136,
"Ferroseed","SSH 130",swsh1-130,
"Galarian Meowth","SSH 127",swsh1-127,
"Galarian Stunfisk","SSH 132",swsh1-132,
"Mawile","SSH 129",swsh1-129,
"Pawniard","SSH 133",swsh1-133,
"Zacian V","SSH 138",swsh1-138,
"Zamazenta V","SSH 139",swsh1-139,
"Bisharp","SSH 134",swsh1-134,
"Copperajah","SSH 137",swsh1-137,
"Ferrothorn","SSH 131",swsh1-131,
"Galarian Perrserker","SSH 128",swsh1-128,
"Corviknight","SSH 135",swsh1-135,
"Galarian Ponyta","SSH 81",swsh1-81,
"Gastly","SSH 83",swsh1-83,
"Indeedee V","SSH 91",swsh1-91,
"Munna","SSH 87",swsh1-87,
"Sinistea","SSH 89",swsh1-89,
"Wobbuffet V","SSH 86",swsh1-86,
"Galarian Rapidash","SSH 82",swsh1-82,
