name,ptcgo,api,notes
"Meowth V","PR-SW 04",swp-04,no-set
"Snorlax","PR-SW 32",swp-32,no-set
"Wooloo","PR-SW 11",swp-11,no-set
"Cinccino","PR-SW 09",swp-09,no-set
"Meowth VMAX","PR-SW 05",swp-05,no-set
"Cinderace V","PR-SW 15",swp-15,no-set
"Scorbunny","PR-SW 02",swp-02,no-set
"Gossifleur","PR-SW 10",swp-10,no-set
"Grookey","PR-SW 01",swp-01,no-set
"Rillaboom V","PR-SW 14",swp-14,no-set
"Rillaboom","PR-SW 06",swp-06,no-set
"Morpeko","PR-SW 12",swp-12,no-set
"Morpeko","PR-SW 31",swp-31,no-set
"Toxtricity V","PR-SW 17",swp-17,no-set
"Galarian Perrserker","PR-SW 08",swp-08,no-set
"Galarian Ponyta","PR-SW 13",swp-13,no-set
"Inteleon V","PR-SW 16",swp-16,no-set
"Sobble","PR-SW 03",swp-03,no-set
"Frosmoth","PR-SW 07",swp-07,no-set
