name,ptcgo,api,notes
"Eevee","AOR 63",xy7-63,
"Lugia-EX","AOR 68",xy7-68,
"Meowth","AOR 61",xy7-61,
"Porygon","AOR 64",xy7-64,
"M Rayquaza-EX","AOR 98",xy7-98,
"Persian","AOR 62",xy7-62,
"Porygon2","AOR 65",xy7-65,
"Porygon-Z","AOR 66",xy7-66,
"Porygon-Z","AOR 67",xy7-67,
"Inkay","AOR 45",xy7-45,
"Sableye","AOR 44",xy7-44,
"Tyranitar-EX","AOR 42",xy7-42,
"M Tyranitar-EX","AOR 43",xy7-43,
"Malamar","AOR 46",xy7-46,
"Giratina-EX","AOR 57",xy7-57,
"Goomy","AOR 58",xy7-58,
"Sliggoo","AOR 59",xy7-59,
"Goodra","AOR 60",xy7-60,
"Cottonee","AOR 55",xy7-55,
"Ralts","AOR 52",xy7-52,
"Kirlia","AOR 53",xy7-53,
"Whimsicott","AOR 56",xy7-56,
"Gardevoir","AOR 54",xy7-54,
"Machamp-EX","AOR 37",xy7-37,
"Regirock","AOR 40",xy7-40,
"Wooper","AOR 38",xy7-38,
"Golurk","AOR 41",xy7-41,
"Primal Groudon-EX","AOR 97",xy7-97,
"Quagsire","AOR 39",xy7-39,
"Entei","AOR 14",xy7-14,
"Entei","AOR 15",xy7-15,
"Larvesta","AOR 16",xy7-16,
"Flareon","AOR 13",xy7-13,
"Volcarona","AOR 17",xy7-17,
"Volcarona","AOR 18",xy7-18,
"Combee","AOR 9",xy7-9,
"Oddish","AOR 1",xy7-1,
"Sceptile-EX","AOR 7",xy7-7,
"Spinarak","AOR 5",xy7-5,
"Virizion","AOR 12",xy7-12,
"Ariados","AOR 6",xy7-6,
"Gloom","AOR 2",xy7-2,
"M Sceptile-EX","AOR 8",xy7-8,
"Vespiquen","AOR 10",xy7-10,
"Vespiquen","AOR 11",xy7-11,
"Bellossom","AOR 4",xy7-4,
"Vileplume","AOR 3",xy7-3,
"Ampharos-EX","AOR 27",xy7-27,
"Rotom","AOR 29",xy7-29,
"Jolteon","AOR 26",xy7-26,
"M Ampharos-EX","AOR 28",xy7-28,
"Registeel","AOR 51",xy7-51,
"Metang","AOR 48",xy7-48,
"Metagross","AOR 49",xy7-49,
"Metagross","AOR 50",xy7-50,
"Baltoy","AOR 31",xy7-31,
"Baltoy","AOR 32",xy7-32,
"Golett","AOR 34",xy7-34,
"Hoopa-EX","AOR 36",xy7-36,
"Unown","AOR 30",xy7-30,
"Claydol","AOR 33",xy7-33,
"Golurk","AOR 35",xy7-35,
"Kyurem-EX","AOR 25",xy7-25,
"Magikarp","AOR 19",xy7-19,
"Regice","AOR 24",xy7-24,
"Relicanth","AOR 23",xy7-23,
"Gyarados","AOR 20",xy7-20,
"Gyarados","AOR 21",xy7-21,
"Primal Kyogre-EX","AOR 96",xy7-96,
"Vaporeon","AOR 22",xy7-22,
"Ampharos Spirit Link","AOR 70",xy7-70,
"Ace Trainer","AOR 69",xy7-69,
"Eco Arm","AOR 71",xy7-71,
"Energy Recycler","AOR 72",xy7-72,
"Energy Retrieval","AOR 99",xy7-99,
"Faded Town","AOR 73",xy7-73,
"Forest of Giant Plants","AOR 74",xy7-74,
"Hex Maniac","AOR 75",xy7-75,
"Level Ball","AOR 76",xy7-76,
"Lucky Helmet","AOR 77",xy7-77,
"Lysandre","AOR 78",xy7-78,
"Paint Roller","AOR 79",xy7-79,
"Sceptile Spirit Link","AOR 80",xy7-80,
"Steven","AOR 95",xy7-95,
"Trainers' Mail","AOR 100",xy7-100,
"Tyranitar Spirit Link","AOR 81",xy7-81,
"Dangerous Energy","AOR 82",xy7-82,
"Flash Energy","AOR 83",xy7-83,
"Lugia-EX","AOR 94",xy7-94,
"Tyranitar-EX","AOR 91",xy7-91,
"M Tyranitar-EX","AOR 92",xy7-92,
"Giratina-EX","AOR 93",xy7-93,
"Machamp-EX","AOR 90",xy7-90,
"Sceptile-EX","AOR 84",xy7-84,
"M Sceptile-EX","AOR 85",xy7-85,
"Ampharos-EX","AOR 87",xy7-87,
"M Ampharos-EX","AOR 88",xy7-88,
"Hoopa-EX","AOR 89",xy7-89,
"Kyurem-EX","AOR 86",xy7-86,
"Beldum","AOR 47",xy7-47,
