name,ptcgo,api,notes
"Bidoof","XY 106",xy1-106,
"Bunnelby","XY 111",xy1-111,
"Doduo","XY 98",xy1-98,
"Dunsparce","XY 101",xy1-101,
"Fletchling","XY 113",xy1-113,
"Furfrou","XY 114",xy1-114,
"Lillipup","XY 108",xy1-108,
"Skitty","XY 104",xy1-104,
"Taillow","XY 102",xy1-102,
"Tauros","XY 100",xy1-100,
"Bibarel","XY 107",xy1-107,
"Delcatty","XY 105",xy1-105,
"Diggersby","XY 112",xy1-112,
"Dodrio","XY 99",xy1-99,
"Herdier","XY 109",xy1-109,
"Swellow","XY 103",xy1-103,
"Stoutland","XY 110",xy1-110,
"Inkay","XY 74",xy1-74,
"Inkay","XY 75",xy1-75,
"Sableye","XY 68",xy1-68,
"Sandile","XY 69",xy1-69,
"Yveltal","XY 78",xy1-78,
"Yveltal-EX","XY 79",xy1-79,
"Zorua","XY 72",xy1-72,
"Krokorok","XY 70",xy1-70,
"Malamar","XY 76",xy1-76,
"Malamar","XY 77",xy1-77,
"Zoroark","XY 73",xy1-73,
"Krookodile","XY 71",xy1-71,
"Jigglypuff","XY 87",xy1-87,
"Jigglypuff","XY 88",xy1-88,
"Mr. Mime","XY 91",xy1-91,
"Spritzee","XY 92",xy1-92,
"Swirlix","XY 94",xy1-94,
"Xerneas","XY 96",xy1-96,
"Xerneas-EX","XY 97",xy1-97,
"Aromatisse","XY 93",xy1-93,
"Slurpuff","XY 95",xy1-95,
"Wigglytuff","XY 89",xy1-89,
"Wigglytuff","XY 90",xy1-90,
"Diglett","XY 58",xy1-58,
"Lunatone","XY 63",xy1-63,
"Rhyhorn","XY 60",xy1-60,
"Solrock","XY 64",xy1-64,
"Timburr","XY 65",xy1-65,
"Dugtrio","XY 59",xy1-59,
"Gurdurr","XY 66",xy1-66,
"Rhydon","XY 61",xy1-61,
"Conkeldurr","XY 67",xy1-67,
"Rhyperior","XY 62",xy1-62,
"Fennekin","XY 24",xy1-24,
"Pansear","XY 22",xy1-22,
"Slugma","XY 20",xy1-20,
"Braixen","XY 25",xy1-25,
"Fletchinder","XY 27",xy1-27,
"Magcargo","XY 21",xy1-21,
"Simisear","XY 23",xy1-23,
"Delphox","XY 26",xy1-26,
"Talonflame","XY 28",xy1-28,
"Chespin","XY 12",xy1-12,
"Illumise","XY 9",xy1-9,
"Ledyba","XY 6",xy1-6,
"Pansage","XY 10",xy1-10,
"Scatterbug","XY 15",xy1-15,
"Skiddo","XY 18",xy1-18,
"Venusaur-EX","XY 1",xy1-1,
"Volbeat","XY 8",xy1-8,
"Weedle","XY 3",xy1-3,
"Gogoat","XY 19",xy1-19,
"Kakuna","XY 4",xy1-4,
"Ledian","XY 7",xy1-7,
"M Venusaur-EX","XY 2",xy1-2,
"Quilladin","XY 13",xy1-13,
"Simisage","XY 11",xy1-11,
"Spewpa","XY 16",xy1-16,
"Beedrill","XY 5",xy1-5,
"Chesnaught","XY 14",xy1-14,
"Vivillon","XY 17",xy1-17,
"Emolga-EX","XY 46",xy1-46,
"Pikachu","XY 42",xy1-42,
"Voltorb","XY 44",xy1-44,
"Electrode","XY 45",xy1-45,
"Raichu","XY 43",xy1-43,
"Honedge","XY 83",xy1-83,
"Pawniard","XY 81",xy1-81,
"Skarmory-EX","XY 80",xy1-80,
"Bisharp","XY 82",xy1-82,
"Doublade","XY 84",xy1-84,
"Aegislash","XY 85",xy1-85,
"Aegislash","XY 86",xy1-86,
"Ekans","XY 47",xy1-47,
"Phantump","XY 54",xy1-54,
"Pumpkaboo","XY 56",xy1-56,
"Spoink","XY 49",xy1-49,
"Venipede","XY 51",xy1-51,
"Arbok","XY 48",xy1-48,
"Gourgeist","XY 57",xy1-57,
"Grumpig","XY 50",xy1-50,
"Trevenant","XY 55",xy1-55,
"Whirlipede","XY 52",xy1-52,
"Scolipede","XY 53",xy1-53,
"Blastoise-EX","XY 29",xy1-29,
"Corsola","XY 36",xy1-36,
"Froakie","XY 39",xy1-39,
"Lapras","XY 35",xy1-35,
"Panpour","XY 37",xy1-37,
"Shellder","XY 31",xy1-31,
"Staryu","XY 33",xy1-33,
"Cloyster","XY 32",xy1-32,
"Frogadier","XY 40",xy1-40,
"M Blastoise-EX","XY 30",xy1-30,
"Simipour","XY 38",xy1-38,
"Starmie","XY 34",xy1-34,
"Greninja","XY 41",xy1-41,
"Cassius","XY 115",xy1-115,
"Evosoda","XY 116",xy1-116,
"Fairy Garden","XY 117",xy1-117,
"Great Ball","XY 118",xy1-118,
"Hard Charm","XY 119",xy1-119,
"Max Revive","XY 120",xy1-120,
"Muscle Band","XY 121",xy1-121,
"Professor Sycamore","XY 122",xy1-122,
"Professor's Letter","XY 123",xy1-123,
"Red Card","XY 124",xy1-124,
"Roller Skates","XY 125",xy1-125,
"Shadow Circle","XY 126",xy1-126,
"Shauna","XY 127",xy1-127,
"Super Potion","XY 128",xy1-128,
"Team Flare Grunt","XY 129",xy1-129,
"Darkness Energy","XY 138",xy1-138,
"Double Colorless Energy","XY 130",xy1-130,
"Fairy Energy","XY 140",xy1-140,
"Fighting Energy","XY 137",xy1-137,
"Fire Energy","XY 133",xy1-133,
"Grass Energy","XY 132",xy1-132,
"Lightning Energy","XY 135",xy1-135,
"Metal Energy","XY 139",xy1-139,
"Psychic Energy","XY 136",xy1-136,
"Rainbow Energy","XY 131",xy1-131,
"Water Energy","XY 134",xy1-134,
"Yveltal-EX","XY 144",xy1-144,
"Xerneas-EX","XY 146",xy1-146,
"Venusaur-EX","XY 141",xy1-141,
"Emolga-EX","XY 143",xy1-143,
"Skarmory-EX","XY 145",xy1-145,
"Blastoise-EX","XY 142",xy1-142,
