name,ptcgo,api,notes
"Dunsparce","BKP 90",xy9-90,
"Furfrou","BKP 95",xy9-95,
"Glameow","BKP 93",xy9-93,
"Ho-Oh-EX","BKP 92",xy9-92,
"Rattata","BKP 87",xy9-87,
"Stantler","BKP 91",xy9-91,
"Purugly","BKP 94",xy9-94,
"Raticate","BKP 88",xy9-88,
"Raticate BREAK","BKP 89",xy9-89,
"Darkrai-EX","BKP 74",xy9-74,
"Nuzleaf","BKP 72",xy9-72,
"Pangoro","BKP 75",xy9-75,
"Shiftry","BKP 73",xy9-73,
"Dragalge","BKP 86",xy9-86,
"Clefairy","BKP 81",xy9-81,
"Spritzee","BKP 84",xy9-84,
"Togekiss-EX","BKP 83",xy9-83,
"Aromatisse","BKP 85",xy9-85,
"Clefable","BKP 82",xy9-82,
"Gible","BKP 68",xy9-68,
"Pancham","BKP 71",xy9-71,
"Sudowoodo","BKP 67",xy9-67,
"Gabite","BKP 69",xy9-69,
"Garchomp","BKP 70",xy9-70,
"Emboar-EX","BKP 14",xy9-14,
"Growlithe","BKP 10",xy9-10,
"Heatmor","BKP 15",xy9-15,
"Numel","BKP 12",xy9-12,
"Arcanine","BKP 11",xy9-11,
"Camerupt","BKP 13",xy9-13,
"Chikorita","BKP 1",xy9-1,
"Durant","BKP 9",xy9-9,
"Kricketot","BKP 5",xy9-5,
"Petilil","BKP 7",xy9-7,
"Seedot","BKP 4",xy9-4,
"Bayleef","BKP 2",xy9-2,
"Kricketune","BKP 6",xy9-6,
"Lilligant","BKP 8",xy9-8,
"Meganium","BKP 3",xy9-3,
"Blitzle","BKP 48",xy9-48,
"Electabuzz","BKP 42",xy9-42,
"Shinx","BKP 44",xy9-44,
"Electivire","BKP 43",xy9-43,
"Luxio","BKP 45",xy9-45,
"Zebstrika","BKP 49",xy9-49,
"Luxray","BKP 46",xy9-46,
"Luxray BREAK","BKP 47",xy9-47,
"Ferroseed","BKP 79",xy9-79,
"Mawile","BKP 78",xy9-78,
"Scizor-EX","BKP 76",xy9-76,
"Ferrothorn","BKP 80",xy9-80,
"M Scizor-EX","BKP 77",xy9-77,
"Drowzee","BKP 50",xy9-50,
"Espeon-EX","BKP 52",xy9-52,
"Espurr","BKP 58",xy9-58,
"Honedge","BKP 60",xy9-60,
"Phantump","BKP 64",xy9-64,
"Sigilyph","BKP 55",xy9-55,
"Skorupi","BKP 53",xy9-53,
"Skrelp","BKP 63",xy9-63,
"Trubbish","BKP 56",xy9-56,
"Doublade","BKP 61",xy9-61,
"Drapion","BKP 54",xy9-54,
"Garbodor","BKP 57",xy9-57,
"Hypno","BKP 51",xy9-51,
"Meowstic","BKP 59",xy9-59,
"Trevenant","BKP 65",xy9-65,
"Aegislash","BKP 62",xy9-62,
"Trevenant BREAK","BKP 66",xy9-66,
"Corsola","BKP 29",xy9-29,
"Ducklett","BKP 36",xy9-36,
"Froakie","BKP 38",xy9-38,
"Gyarados-EX","BKP 26",xy9-26,
"Lapras","BKP 28",xy9-28,
"Manaphy-EX","BKP 32",xy9-32,
"Palkia-EX","BKP 31",xy9-31,
"Psyduck","BKP 16",xy9-16,
"Shellder","BKP 22",xy9-22,
"Shellder","BKP 23",xy9-23,
"Slowpoke","BKP 19",xy9-19,
"Staryu","BKP 25",xy9-25,
"Suicune","BKP 30",xy9-30,
"Tympole","BKP 33",xy9-33,
"Cloyster","BKP 24",xy9-24,
"Frogadier","BKP 39",xy9-39,
"Golduck","BKP 17",xy9-17,
"M Gyarados-EX","BKP 27",xy9-27,
"Palpitoad","BKP 34",xy9-34,
"Slowbro","BKP 20",xy9-20,
"Slowking","BKP 21",xy9-21,
"Swanna","BKP 37",xy9-37,
"Greninja","BKP 40",xy9-40,
"Seismitoad","BKP 35",xy9-35,
"Golduck BREAK","BKP 18",xy9-18,
"Greninja BREAK","BKP 41",xy9-41,
"All-Night Party","BKP 96",xy9-96,
"Bursting Balloon","BKP 97",xy9-97,
"Delinquent","BKP 98",xy9-98,
"Fighting Fury Belt","BKP 99",xy9-99,
"Great Ball","BKP 100",xy9-100,
"Gyarados Spirit Link","BKP 101",xy9-101,
"Max Elixir","BKP 102",xy9-102,
"Max Potion","BKP 103",xy9-103,
"Misty's Determination","BKP 104",xy9-104,
"Pokémon Catcher","BKP 105",xy9-105,
"Potion","BKP 106",xy9-106,
"Professor Sycamore","BKP 107",xy9-107,
"Psychic's Third Eye","BKP 108",xy9-108,
"Puzzle of Time","BKP 109",xy9-109,
"Reverse Valley","BKP 110",xy9-110,
"Scizor Spirit Link","BKP 111",xy9-111,
"Skyla","BKP 122",xy9-122,
"Tierno","BKP 112",xy9-112,
"Splash Energy","BKP 113",xy9-113,
"Ho-Oh-EX","BKP 121",xy9-121,
"Darkrai-EX","BKP 118",xy9-118,
"Scizor-EX","BKP 119",xy9-119,
"M Scizor-EX","BKP 120",xy9-120,
"Espeon-EX","BKP 117",xy9-117,
"Gyarados-EX","BKP 114",xy9-114,
"Manaphy-EX","BKP 116",xy9-116,
"M Gyarados-EX","BKP 115",xy9-115,
"Gyarados-EX","BKP 123",xy9-123,
