name,ptcgo,api,notes
"Chansey","EVO 70",xy12-70,
"Doduo","EVO 69",xy12-69,
"Dragonite-EX","EVO 72",xy12-72,
"Farfetch'd","EVO 68",xy12-68,
"Imakuni?'s Doduo","EVO 112",xy12-112,
"Pidgeot-EX","EVO 64",xy12-64,
"Porygon","EVO 71",xy12-71,
"Rattata","EVO 66",xy12-66,
"M Pidgeot-EX","EVO 65",xy12-65,
"Raticate","EVO 67",xy12-67,
"Clefairy","EVO 63",xy12-63,
"Diglett","EVO 55",xy12-55,
"Hitmonchan","EVO 62",xy12-62,
"Machop","EVO 57",xy12-57,
"Onix","EVO 61",xy12-61,
"Sandshrew","EVO 54",xy12-54,
"Dugtrio","EVO 56",xy12-56,
"Machoke","EVO 58",xy12-58,
"Machamp","EVO 59",xy12-59,
"Machamp BREAK","EVO 60",xy12-60,
"Charizard-EX","EVO 12",xy12-12,
"Charmander","EVO 9",xy12-9,
"Growlithe","EVO 17",xy12-17,
"Magmar","EVO 20",xy12-20,
"Ponyta","EVO 19",xy12-19,
"Vulpix","EVO 14",xy12-14,
"Arcanine","EVO 18",xy12-18,
"Charmeleon","EVO 10",xy12-10,
"M Charizard-EX","EVO 13",xy12-13,
"Ninetales","EVO 15",xy12-15,
"Charizard","EVO 11",xy12-11,
"Ninetales BREAK","EVO 16",xy12-16,
"Caterpie","EVO 3",xy12-3,
"Tangela","EVO 8",xy12-8,
"Venusaur-EX","EVO 1",xy12-1,
"Weedle","EVO 5",xy12-5,
"Exeggutor","EVO 109",xy12-109,
"Kakuna","EVO 6",xy12-6,
"M Venusaur-EX","EVO 2",xy12-2,
"Metapod","EVO 4",xy12-4,
"Beedrill","EVO 7",xy12-7,
"Electabuzz","EVO 41",xy12-41,
"Flying Pikachu","EVO 110",xy12-110,
"Magnemite","EVO 37",xy12-37,
"Pikachu","EVO 35",xy12-35,
"Surfing Pikachu","EVO 111",xy12-111,
"Voltorb","EVO 39",xy12-39,
"Zapdos","EVO 42",xy12-42,
"Electrode","EVO 40",xy12-40,
"Magneton","EVO 38",xy12-38,
"Raichu","EVO 36",xy12-36,
"Drowzee","EVO 49",xy12-49,
"Gastly","EVO 47",xy12-47,
"Koffing","EVO 50",xy12-50,
"Mew","EVO 53",xy12-53,
"Mewtwo","EVO 51",xy12-51,
"Mewtwo-EX","EVO 52",xy12-52,
"Nidoran♂","EVO 43",xy12-43,
"Haunter","EVO 48",xy12-48,
"Nidorino","EVO 44",xy12-44,
"Nidoking","EVO 45",xy12-45,
"Nidoking BREAK","EVO 46",xy12-46,
"Blastoise-EX","EVO 21",xy12-21,
"Magikarp","EVO 33",xy12-33,
"Poliwag","EVO 23",xy12-23,
"Seel","EVO 28",xy12-28,
"Slowbro-EX","EVO 26",xy12-26,
"Staryu","EVO 30",xy12-30,
"Dewgong","EVO 29",xy12-29,
"Gyarados","EVO 34",xy12-34,
"M Blastoise-EX","EVO 22",xy12-22,
"M Slowbro-EX","EVO 27",xy12-27,
"Poliwhirl","EVO 24",xy12-24,
"Starmie","EVO 31",xy12-31,
"Poliwrath","EVO 25",xy12-25,
"Starmie BREAK","EVO 32",xy12-32,
"Blastoise Spirit Link","EVO 73",xy12-73,
"Brock's Grit","EVO 74",xy12-74,
"Charizard Spirit Link","EVO 75",xy12-75,
"Devolution Spray","EVO 76",xy12-76,
"Energy Retrieval","EVO 77",xy12-77,
"Full Heal","EVO 78",xy12-78,
"Here Comes Team Rocket!","EVO 113",xy12-113,
"Maintenance","EVO 79",xy12-79,
"Misty's Determination","EVO 80",xy12-80,
"Pidgeot Spirit Link","EVO 81",xy12-81,
"Pokédex","EVO 82",xy12-82,
"Potion","EVO 83",xy12-83,
"Professor Oak's Hint","EVO 84",xy12-84,
"Revive","EVO 85",xy12-85,
"Slowbro Spirit Link","EVO 86",xy12-86,
"Super Potion","EVO 87",xy12-87,
"Switch","EVO 88",xy12-88,
"Venusaur Spirit Link","EVO 89",xy12-89,
"Darkness Energy","EVO 97",xy12-97,
"Double Colorless Energy","EVO 90",xy12-90,
"Fairy Energy","EVO 99",xy12-99,
"Fighting Energy","EVO 96",xy12-96,
"Fire Energy","EVO 92",xy12-92,
"Grass Energy","EVO 91",xy12-91,
"Lightning Energy","EVO 94",xy12-94,
"Metal Energy","EVO 98",xy12-98,
"Psychic Energy","EVO 95",xy12-95,
"Water Energy","EVO 93",xy12-93,
"Dragonite-EX","EVO 106",xy12-106,
"Pidgeot-EX","EVO 104",xy12-104,
"M Pidgeot-EX","EVO 105",xy12-105,
"M Charizard-EX","EVO 101",xy12-101,
"M Venusaur-EX","EVO 100",xy12-100,
"Mewtwo-EX","EVO 103",xy12-103,
"M Blastoise-EX","EVO 102",xy12-102,
"Misty's Determination","EVO 108",xy12-108,
"Brock's Grit","EVO 107",xy12-107,
