name,ptcgo,api,notes
"Buneary","FLF 84",xy2-84,
"Fletchling","FLF 86",xy2-86,
"Furfrou","FLF 87",xy2-87,
"Kangaskhan-EX","FLF 78",xy2-78,
"Miltank","FLF 83",xy2-83,
"Pidgey","FLF 75",xy2-75,
"Sentret","FLF 81",xy2-81,
"Snorlax","FLF 80",xy2-80,
"Furret","FLF 82",xy2-82,
"Lopunny","FLF 85",xy2-85,
"M Kangaskhan-EX","FLF 79",xy2-79,
"Pidgeotto","FLF 76",xy2-76,
"Pidgeot","FLF 77",xy2-77,
"Sandile","FLF 56",xy2-56,
"Scraggy","FLF 58",xy2-58,
"Sneasel","FLF 50",xy2-50,
"Sneasel","FLF 51",xy2-51,
"Stunky","FLF 53",xy2-53,
"Stunky","FLF 54",xy2-54,
"Krokorok","FLF 57",xy2-57,
"Scrafty","FLF 59",xy2-59,
"Skuntank","FLF 55",xy2-55,
"Weavile","FLF 52",xy2-52,
"Druddigon","FLF 70",xy2-70,
"Goomy","FLF 72",xy2-72,
"Dragalge","FLF 71",xy2-71,
"M Charizard-EX","FLF 69",xy2-69,
"Sliggoo","FLF 73",xy2-73,
"Goodra","FLF 74",xy2-74,
"Carbink","FLF 68",xy2-68,
"Flabébé","FLF 62",xy2-62,
"Flabébé","FLF 63",xy2-63,
"Spritzee","FLF 67",xy2-67,
"Floette","FLF 64",xy2-64,
"Floette","FLF 65",xy2-65,
"Florges","FLF 66",xy2-66,
"Binacle","FLF 48",xy2-48,
"Geodude","FLF 45",xy2-45,
"Barbaracle","FLF 49",xy2-49,
"Graveler","FLF 46",xy2-46,
"Golem","FLF 47",xy2-47,
"Charizard-EX","FLF 11",xy2-11,
"Charizard-EX","FLF 12",xy2-12,
"Litleo","FLF 18",xy2-18,
"Litleo","FLF 19",xy2-19,
"Ponyta","FLF 14",xy2-14,
"Torkoal","FLF 16",xy2-16,
"Fletchinder","FLF 17",xy2-17,
"M Charizard-EX","FLF 13",xy2-13,
"Pyroar","FLF 20",xy2-20,
"Rapidash","FLF 15",xy2-15,
"Caterpie","FLF 1",xy2-1,
"Maractus","FLF 10",xy2-10,
"Pineco","FLF 4",xy2-4,
"Roselia","FLF 8",xy2-8,
"Seedot","FLF 5",xy2-5,
"Metapod","FLF 2",xy2-2,
"Nuzleaf","FLF 6",xy2-6,
"Roserade","FLF 9",xy2-9,
"Butterfree","FLF 3",xy2-3,
"Shiftry","FLF 7",xy2-7,
"Helioptile","FLF 36",xy2-36,
"Magnezone-EX","FLF 35",xy2-35,
"Shinx","FLF 32",xy2-32,
"Heliolisk","FLF 37",xy2-37,
"Luxio","FLF 33",xy2-33,
"Luxray","FLF 34",xy2-34,
"Durant","FLF 61",xy2-61,
"Forretress","FLF 60",xy2-60,
"Duskull","FLF 38",xy2-38,
"Espurr","FLF 42",xy2-42,
"Skrelp","FLF 44",xy2-44,
"Toxicroak-EX","FLF 41",xy2-41,
"Dusclops","FLF 39",xy2-39,
"Meowstic","FLF 43",xy2-43,
"Dusknoir","FLF 40",xy2-40,
"Bergmite","FLF 30",xy2-30,
"Buizel","FLF 28",xy2-28,
"Feebas","FLF 22",xy2-22,
"Luvdisc","FLF 27",xy2-27,
"Qwilfish","FLF 21",xy2-21,
"Spheal","FLF 24",xy2-24,
"Avalugg","FLF 31",xy2-31,
"Floatzel","FLF 29",xy2-29,
"Milotic","FLF 23",xy2-23,
"Sealeo","FLF 25",xy2-25,
"Walrein","FLF 26",xy2-26,
"Blacksmith","FLF 88",xy2-88,
"Fiery Torch","FLF 89",xy2-89,
"Lysandre","FLF 90",xy2-90,
"Magnetic Storm","FLF 91",xy2-91,
"Pal Pad","FLF 92",xy2-92,
"Pokémon Center Lady","FLF 93",xy2-93,
"Pokémon Fan Club","FLF 94",xy2-94,
"Protection Cube","FLF 95",xy2-95,
"Sacred Ash","FLF 96",xy2-96,
"Startling Megaphone","FLF 97",xy2-97,
"Trick Shovel","FLF 98",xy2-98,
"Ultra Ball","FLF 99",xy2-99,
"Kangaskhan-EX","FLF 103",xy2-103,
"M Kangaskhan-EX","FLF 109",xy2-109,
"Charizard-EX","FLF 100",xy2-100,
"M Charizard-EX","FLF 107",xy2-107,
"Magnezone-EX","FLF 101",xy2-101,
"Toxicroak-EX","FLF 102",xy2-102,
"Lysandre","FLF 104",xy2-104,
"Pokémon Center Lady","FLF 105",xy2-105,
"Pokémon Fan Club","FLF 106",xy2-106,
"M Charizard-EX","FLF 108",xy2-108,
