name,ptcgo,api,notes
"Eevee","FFI 80",xy3-80,
"Lickitung","FFI 78",xy3-78,
"Noibat","FFI 87",xy3-87,
"Patrat","FFI 84",xy3-84,
"Slakoth","FFI 81",xy3-81,
"Tornadus","FFI 86",xy3-86,
"Lickilicky","FFI 79",xy3-79,
"Vigoroth","FFI 82",xy3-82,
"Watchog","FFI 85",xy3-85,
"Slaking","FFI 83",xy3-83,
"Scraggy","FFI 66",xy3-66,
"Drapion","FFI 65",xy3-65,
"Pangoro","FFI 68",xy3-68,
"Scrafty","FFI 67",xy3-67,
"Dragonite-EX","FFI 74",xy3-74,
"Noivern","FFI 77",xy3-77,
"Vibrava","FFI 75",xy3-75,
"Flygon","FFI 76",xy3-76,
"Clefairy","FFI 69",xy3-69,
"Clefairy","FFI 70",xy3-70,
"Klefki","FFI 73",xy3-73,
"Clefable","FFI 71",xy3-71,
"Sylveon","FFI 72",xy3-72,
"Hawlucha","FFI 63",xy3-63,
"Hawlucha-EX","FFI 64",xy3-64,
"Hitmonchan","FFI 48",xy3-48,
"Hitmonlee","FFI 47",xy3-47,
"Hitmontop","FFI 49",xy3-49,
"Landorus","FFI 58",xy3-58,
"Lucario-EX","FFI 54",xy3-54,
"Machop","FFI 44",xy3-44,
"Makuhita","FFI 51",xy3-51,
"Mienfoo","FFI 56",xy3-56,
"Pancham","FFI 59",xy3-59,
"Pancham","FFI 60",xy3-60,
"Trapinch","FFI 53",xy3-53,
"Tyrunt","FFI 61",xy3-61,
"Breloom","FFI 50",xy3-50,
"Hariyama","FFI 52",xy3-52,
"M Lucario-EX","FFI 55",xy3-55,
"Machoke","FFI 45",xy3-45,
"Mienshao","FFI 57",xy3-57,
"Tyrantrum","FFI 62",xy3-62,
"Machamp","FFI 46",xy3-46,
"Magmar","FFI 10",xy3-10,
"Torchic","FFI 12",xy3-12,
"Combusken","FFI 13",xy3-13,
"Magmortar","FFI 11",xy3-11,
"Blaziken","FFI 14",xy3-14,
"Bellsprout","FFI 1",xy3-1,
"Heracross-EX","FFI 4",xy3-4,
"Shelmet","FFI 8",xy3-8,
"Shroomish","FFI 6",xy3-6,
"Accelgor","FFI 9",xy3-9,
"Leafeon","FFI 7",xy3-7,
"M Heracross-EX","FFI 5",xy3-5,
"Weepinbell","FFI 2",xy3-2,
"Victreebel","FFI 3",xy3-3,
"Dedenne","FFI 34",xy3-34,
"Electabuzz","FFI 29",xy3-29,
"Minun","FFI 32",xy3-32,
"Pikachu","FFI 27",xy3-27,
"Plusle","FFI 31",xy3-31,
"Thundurus","FFI 33",xy3-33,
"Electivire","FFI 30",xy3-30,
"Raichu","FFI 28",xy3-28,
"Drowzee","FFI 35",xy3-35,
"Golett","FFI 42",xy3-42,
"Gothita","FFI 39",xy3-39,
"Jynx","FFI 37",xy3-37,
"Skorupi","FFI 38",xy3-38,
"Golurk","FFI 43",xy3-43,
"Gothorita","FFI 40",xy3-40,
"Hypno","FFI 36",xy3-36,
"Gothitelle","FFI 41",xy3-41,
"Clauncher","FFI 23",xy3-23,
"Cubchoo","FFI 21",xy3-21,
"Poliwag","FFI 15",xy3-15,
"Seismitoad-EX","FFI 20",xy3-20,
"Amaura","FFI 25",xy3-25,
"Aurorus","FFI 26",xy3-26,
"Beartic","FFI 22",xy3-22,
"Clawitzer","FFI 24",xy3-24,
"Glaceon","FFI 19",xy3-19,
"Poliwhirl","FFI 16",xy3-16,
"Politoed","FFI 18",xy3-18,
"Poliwrath","FFI 17",xy3-17,
"Battle Reporter","FFI 88",xy3-88,
"Energy Switch","FFI 89",xy3-89,
"Fighting Stadium","FFI 90",xy3-90,
"Focus Sash","FFI 91",xy3-91,
"Fossil Researcher","FFI 92",xy3-92,
"Full Heal","FFI 93",xy3-93,
"Jaw Fossil","FFI 94",xy3-94,
"Korrina","FFI 95",xy3-95,
"Maintenance","FFI 96",xy3-96,
"Mountain Ring","FFI 97",xy3-97,
"Sail Fossil","FFI 98",xy3-98,
"Sparkling Robe","FFI 99",xy3-99,
"Super Scoop Up","FFI 100",xy3-100,
"Tool Retriever","FFI 101",xy3-101,
"Training Center","FFI 102",xy3-102,
"Herbal Energy","FFI 103",xy3-103,
"Strong Energy","FFI 104",xy3-104,
"Dragonite-EX","FFI 108",xy3-108,
"Lucario-EX","FFI 107",xy3-107,
"M Lucario-EX","FFI 55",xy3-55,
"Heracross-EX","FFI 105",xy3-105,
"M Heracross-EX","FFI 112",xy3-112,
"Seismitoad-EX","FFI 106",xy3-106,
"Battle Reporter","FFI 109",xy3-109,
"Fossil Researcher","FFI 110",xy3-110,
"Korrina","FFI 111",xy3-111,
"M Lucario-EX","FFI 113",xy3-113,
