name,ptcgo,api,notes
"Doduo","GEN 55",g1-55,
"Fletchling","GEN 125",g1-RC25,
"Meowth","GEN 53",g1-53,
"Snorlax","GEN 58",g1-58,
"Swablu","GEN 123",g1-RC23,
"Tauros","GEN 57",g1-57,
"Altaria","GEN 124",g1-RC24,
"Dodrio","GEN 56",g1-56,
"Persian","GEN 54",g1-54,
"Yveltal","GEN 116",g1-RC16,
"Clefairy","GEN 50",g1-50,
"Diancie","GEN 122",g1-RC22,
"Flabébé","GEN 117",g1-RC17,
"Gardevoir-EX","GEN 130",g1-RC30,
"Mr. Mime","GEN 52",g1-52,
"Swirlix","GEN 119",g1-RC19,
"Sylveon-EX","GEN 121",g1-RC21,
"Clefable","GEN 51",g1-51,
"Floette","GEN 118",g1-RC18,
"M Gardevoir-EX","GEN 131",g1-RC31,
"Slurpuff","GEN 120",g1-RC20,
"Diglett","GEN 38",g1-38,
"Geodude","GEN 43",g1-43,
"Golem-EX","GEN 46",g1-46,
"Hitmonchan","GEN 48",g1-48,
"Hitmonlee","GEN 47",g1-47,
"Machop","GEN 40",g1-40,
"Rhyhorn","GEN 49",g1-49,
"Dugtrio","GEN 39",g1-39,
"Graveler","GEN 44",g1-44,
"Machoke","GEN 41",g1-41,
"Golem","GEN 45",g1-45,
"Machamp","GEN 42",g1-42,
"Charizard-EX","GEN 11",g1-11,
"Charmander","GEN 103",g1-RC3,
"Flareon-EX","GEN 106",g1-RC6,
"Magmar","GEN 16",g1-16,
"Ninetales-EX","GEN 13",g1-13,
"Ponyta","GEN 14",g1-14,
"Charmeleon","GEN 104",g1-RC4,
"M Charizard-EX","GEN 12",g1-12,
"Rapidash","GEN 15",g1-15,
"Charizard","GEN 105",g1-RC5,
"Caterpie","GEN 3",g1-3,
"Chikorita","GEN 101",g1-RC1,
"Leafeon-EX","GEN 10",g1-10,
"Paras","GEN 6",g1-6,
"Pinsir","GEN 9",g1-9,
"Shroomish","GEN 102",g1-RC2,
"Tangela","GEN 8",g1-8,
"Venusaur-EX","GEN 1",g1-1,
"M Venusaur-EX","GEN 2",g1-2,
"Metapod","GEN 4",g1-4,
"Parasect","GEN 7",g1-7,
"Butterfree","GEN 5",g1-5,
"Dedenne","GEN 110",g1-RC10,
"Jolteon-EX","GEN 28",g1-28,
"Pikachu","GEN 26",g1-26,
"Zapdos","GEN 29",g1-29,
"Raichu","GEN 27",g1-27,
"Espurr","GEN 114",g1-RC14,
"Gastly","GEN 33",g1-33,
"Gulpin","GEN 112",g1-RC12,
"Jirachi","GEN 113",g1-RC13,
"Jynx","GEN 36",g1-36,
"Meowstic-EX","GEN 37",g1-37,
"Slowpoke","GEN 32",g1-32,
"Wobbuffet","GEN 111",g1-RC11,
"Zubat","GEN 30",g1-30,
"Golbat","GEN 31",g1-31,
"Haunter","GEN 34",g1-34,
"Meowstic","GEN 115",g1-RC15,
"Gengar","GEN 35",g1-35,
"Articuno","GEN 25",g1-25,
"Blastoise-EX","GEN 17",g1-17,
"Krabby","GEN 21",g1-21,
"Magikarp","GEN 22",g1-22,
"Shellder","GEN 19",g1-19,
"Snorunt","GEN 107",g1-RC7,
"Vaporeon-EX","GEN 24",g1-24,
"Cloyster","GEN 20",g1-20,
"Froslass","GEN 108",g1-RC8,
"Gyarados","GEN 23",g1-23,
"M Blastoise-EX","GEN 18",g1-18,
"Clemont","GEN 59",g1-59,
"Crushing Hammer","GEN 60",g1-60,
"Energy Switch","GEN 61",g1-61,
"Evosoda","GEN 62",g1-62,
"Floral Crown","GEN 126",g1-RC26,
"Imakuni?","GEN 63",g1-63,
"Maintenance","GEN 64",g1-64,
"Max Revive","GEN 65",g1-65,
"Olympia","GEN 66",g1-66,
"Poké Ball","GEN 67",g1-67,
"Pokémon Center Lady","GEN 68",g1-68,
"Pokémon Fan Club","GEN 69",g1-69,
"Red Card","GEN 71",g1-71,
"Revitalizer","GEN 70",g1-70,
"Shauna","GEN 72",g1-72,
"Team Flare Grunt","GEN 73",g1-73,
"Wally","GEN 127",g1-RC27,
"Darkness Energy","GEN 81",g1-81,
"Double Colorless Energy","GEN 74",g1-74,
"Fairy Energy","GEN 83",g1-83,
"Fighting Energy","GEN 80",g1-80,
"Fire Energy","GEN 76",g1-76,
"Grass Energy","GEN 75",g1-75,
"Lightning Energy","GEN 78",g1-78,
"Metal Energy","GEN 82",g1-82,
"Psychic Energy","GEN 79",g1-79,
"Water Energy","GEN 77",g1-77,
"Sylveon-EX","GEN 132",g1-RC32,
"Flareon-EX","GEN 128",g1-RC28,
"Pikachu","GEN 129",g1-RC29,
"Raichu","GEN 109",g1-RC9,
