name,ptcgo,api,notes
"Bunnelby","PHF 87",xy4-87,
"Chansey","PHF 80",xy4-80,
"Fletchling","PHF 89",xy4-89,
"Furfrou","PHF 90",xy4-90,
"Girafarig","PHF 82",xy4-82,
"Regigigas","PHF 86",xy4-86,
"Spearow","PHF 78",xy4-78,
"Whismur","PHF 83",xy4-83,
"Blissey","PHF 81",xy4-81,
"Diggersby","PHF 88",xy4-88,
"Fearow","PHF 79",xy4-79,
"Loudred","PHF 84",xy4-84,
"Exploud","PHF 85",xy4-85,
"Malamar-EX","PHF 58",xy4-58,
"Murkrow","PHF 51",xy4-51,
"Poochyena","PHF 53",xy4-53,
"Purrloin","PHF 56",xy4-56,
"Spiritomb","PHF 55",xy4-55,
"Honchkrow","PHF 52",xy4-52,
"Liepard","PHF 57",xy4-57,
"Mightyena","PHF 54",xy4-54,
"Deino","PHF 72",xy4-72,
"Goomy","PHF 75",xy4-75,
"Sliggoo","PHF 76",xy4-76,
"Zweilous","PHF 73",xy4-73,
"Goodra","PHF 77",xy4-77,
"Hydreigon","PHF 74",xy4-74,
"Dedenne","PHF 70",xy4-70,
"Diancie","PHF 71",xy4-71,
"Florges-EX","PHF 67",xy4-67,
"Swirlix","PHF 68",xy4-68,
"Slurpuff","PHF 69",xy4-69,
"Gligar","PHF 46",xy4-46,
"Roggenrola","PHF 48",xy4-48,
"Boldore","PHF 49",xy4-49,
"Gliscor","PHF 47",xy4-47,
"Gigalith","PHF 50",xy4-50,
"Litleo","PHF 11",xy4-11,
"Fletchinder","PHF 9",xy4-9,
"Pyroar","PHF 12",xy4-12,
"Talonflame","PHF 10",xy4-10,
"Karrablast","PHF 8",xy4-8,
"Sewaddle","PHF 5",xy4-5,
"Venonat","PHF 1",xy4-1,
"Yanma","PHF 3",xy4-3,
"Swadloon","PHF 6",xy4-6,
"Venomoth","PHF 2",xy4-2,
"Yanmega","PHF 4",xy4-4,
"Leavanny","PHF 7",xy4-7,
"Helioptile","PHF 28",xy4-28,
"Joltik","PHF 26",xy4-26,
"Manectric-EX","PHF 23",xy4-23,
"Pachirisu","PHF 25",xy4-25,
"Galvantula","PHF 27",xy4-27,
"Heliolisk","PHF 30",xy4-30,
"M Manectric-EX","PHF 24",xy4-24,
"Bronzor","PHF 60",xy4-60,
"Dialga-EX","PHF 62",xy4-62,
"Heatran","PHF 63",xy4-63,
"Klefki","PHF 66",xy4-66,
"Skarmory","PHF 59",xy4-59,
"Bronzong","PHF 61",xy4-61,
"Escavalier","PHF 64",xy4-64,
"Gengar-EX","PHF 34",xy4-34,
"Gulpin","PHF 37",xy4-37,
"Litwick","PHF 41",xy4-41,
"Munna","PHF 39",xy4-39,
"Pumpkaboo","PHF 44",xy4-44,
"Wobbuffet","PHF 36",xy4-36,
"Zubat","PHF 31",xy4-31,
"Golbat","PHF 32",xy4-32,
"Gourgeist","PHF 45",xy4-45,
"Lampent","PHF 42",xy4-42,
"M Gengar-EX","PHF 35",xy4-35,
"Musharna","PHF 40",xy4-40,
"Swalot","PHF 38",xy4-38,
"Chandelure","PHF 43",xy4-43,
"Crobat","PHF 33",xy4-33,
"Alomomola","PHF 22",xy4-22,
"Finneon","PHF 18",xy4-18,
"Frillish","PHF 20",xy4-20,
"Krabby","PHF 13",xy4-13,
"Totodile","PHF 15",xy4-15,
"Croconaw","PHF 16",xy4-16,
"Jellicent","PHF 21",xy4-21,
"Kingler","PHF 14",xy4-14,
"Lumineon","PHF 19",xy4-19,
"Feraligatr","PHF 17",xy4-17,
"AZ","PHF 91",xy4-91,
"Battle Compressor Team Flare Gear","PHF 92",xy4-92,
"Dimension Valley","PHF 93",xy4-93,
"Enhanced Hammer","PHF 94",xy4-94,
"Gengar Spirit Link","PHF 95",xy4-95,
"Hand Scope","PHF 96",xy4-96,
"Head Ringer Team Flare Hyper Gear","PHF 97",xy4-97,
"Jamming Net Team Flare Hyper Gear","PHF 98",xy4-98,
"Lysandre's Trump Card","PHF 99",xy4-99,
"Manectric Spirit Link","PHF 100",xy4-100,
"Professor Sycamore","PHF 101",xy4-101,
"Robo Substitute Team Flare Gear","PHF 102",xy4-102,
"Roller Skates","PHF 103",xy4-103,
"Shauna","PHF 104",xy4-104,
"Steel Shelter","PHF 105",xy4-105,
"Target Whistle Team Flare Gear","PHF 106",xy4-106,
"Tierno","PHF 107",xy4-107,
"Trick Coin","PHF 108",xy4-108,
"Xerosic","PHF 110",xy4-110,
"VS Seeker","PHF 109",xy4-109,
"Double Colorless Energy","PHF 111",xy4-111,
"Mystery Energy","PHF 112",xy4-112,
"Malamar-EX","PHF 115",xy4-115,
"Manectric-EX","PHF 113",xy4-113,
"Aegislash-EX","PHF 65",xy4-65,
"Dialga-EX","PHF 122",xy4-122,
"Gengar-EX","PHF 114",xy4-114,
"M Gengar-EX","PHF 121",xy4-121,
"AZ","PHF 117",xy4-117,
"Lysandre's Trump Card","PHF 118",xy4-118,
"Xerosic","PHF 119",xy4-119,
"M Manectric-EX","PHF 120",xy4-120,
"Florges-EX","PHF 116",xy4-116,
"Helioptile","PHF 29",xy4-29,
