name,ptcgo,api,notes
"Bidoof","PRC 116",xy5-116,
"Bidoof","PRC 117",xy5-117,
"Bouffalant","PRC 119",xy5-119,
"Bunnelby","PRC 120",xy5-120,
"Bunnelby","PRC 121",xy5-121,
"Skitty","PRC 113",xy5-113,
"Spinda","PRC 115",xy5-115,
"Zigzagoon","PRC 111",xy5-111,
"Bibarel","PRC 118",xy5-118,
"Delcatty","PRC 114",xy5-114,
"Linoone","PRC 112",xy5-112,
"Sharpedo-EX","PRC 91",xy5-91,
"Crawdaunt","PRC 92",xy5-92,
"Vibrava","PRC 109",xy5-109,
"Flygon","PRC 110",xy5-110,
"Kingdra","PRC 107",xy5-107,
"Kingdra","PRC 108",xy5-108,
"Gardevoir-EX","PRC 105",xy5-105,
"Marill","PRC 102",xy5-102,
"Mr. Mime","PRC 101",xy5-101,
"Azumarill","PRC 103",xy5-103,
"Azumarill","PRC 104",xy5-104,
"M Gardevoir-EX","PRC 106",xy5-106,
"Drilbur","PRC 89",xy5-89,
"Groudon","PRC 84",xy5-84,
"Groudon-EX","PRC 85",xy5-85,
"Hippopotas","PRC 87",xy5-87,
"Meditite","PRC 79",xy5-79,
"Nosepass","PRC 78",xy5-78,
"Rhyhorn","PRC 74",xy5-74,
"Solrock","PRC 83",xy5-83,
"Trapinch","PRC 82",xy5-82,
"Diggersby","PRC 90",xy5-90,
"Hippowdon","PRC 88",xy5-88,
"Medicham","PRC 80",xy5-80,
"Medicham","PRC 81",xy5-81,
"Primal Groudon-EX","PRC 86",xy5-86,
"Rhydon","PRC 75",xy5-75,
"Rhyperior","PRC 76",xy5-76,
"Rhyperior","PRC 77",xy5-77,
"Camerupt-EX","PRC 29",xy5-29,
"Slugma","PRC 22",xy5-22,
"Torchic","PRC 25",xy5-25,
"Torchic","PRC 26",xy5-26,
"Vulpix","PRC 20",xy5-20,
"Combusken","PRC 27",xy5-27,
"Magcargo","PRC 23",xy5-23,
"Magcargo","PRC 24",xy5-24,
"Ninetales","PRC 21",xy5-21,
"Blaziken","PRC 28",xy5-28,
"Illumise","PRC 18",xy5-18,
"Lotad","PRC 10",xy5-10,
"Shroomish","PRC 15",xy5-15,
"Surskit","PRC 13",xy5-13,
"Tangela","PRC 4",xy5-4,
"Treecko","PRC 6",xy5-6,
"Trevenant-EX","PRC 19",xy5-19,
"Volbeat","PRC 17",xy5-17,
"Weedle","PRC 1",xy5-1,
"Breloom","PRC 16",xy5-16,
"Grovyle","PRC 7",xy5-7,
"Kakuna","PRC 2",xy5-2,
"Lombre","PRC 11",xy5-11,
"Masquerain","PRC 14",xy5-14,
"Tangrowth","PRC 5",xy5-5,
"Beedrill","PRC 3",xy5-3,
"Ludicolo","PRC 12",xy5-12,
"Sceptile","PRC 8",xy5-8,
"Sceptile","PRC 9",xy5-9,
"Chinchou","PRC 57",xy5-57,
"Electrike","PRC 59",xy5-59,
"Electrike","PRC 60",xy5-60,
"Tynamo","PRC 62",xy5-62,
"Eelektrik","PRC 63",xy5-63,
"Eelektrik","PRC 64",xy5-64,
"Lanturn","PRC 58",xy5-58,
"Manectric","PRC 61",xy5-61,
"Eelektross","PRC 65",xy5-65,
"Aggron-EX","PRC 93",xy5-93,
"Honedge","PRC 98",xy5-98,
"Doublade","PRC 99",xy5-99,
"Excadrill","PRC 96",xy5-96,
"Excadrill","PRC 97",xy5-97,
"M Aggron-EX","PRC 94",xy5-94,
"Probopass","PRC 95",xy5-95,
"Aegislash","PRC 100",xy5-100,
"Nidoran♀","PRC 66",xy5-66,
"Tentacool","PRC 70",xy5-70,
"Tentacool","PRC 71",xy5-71,
"Nidorina","PRC 67",xy5-67,
"Starmie","PRC 73",xy5-73,
"Tentacruel","PRC 72",xy5-72,
"Nidoqueen","PRC 68",xy5-68,
"Nidoqueen","PRC 69",xy5-69,
"Barboach","PRC 39",xy5-39,
