name,ptcgo,api,notes
"Arceus","PR-XY 83",xyp-XY83,
"Arceus","PR-XY 197",xyp-XY197,no-image
"Ditto","PR-XY 40",xyp-XY40,
"Lugia","PR-XY 156",xyp-XY156,
"Rayquaza-EX","PR-XY 66",xyp-XY66,
"Regigigas","PR-XY 82",xyp-XY82,
"Snorlax","PR-XY 179",xyp-XY179,
"Blissey","PR-XY 56",xyp-XY56,
"Fearow","PR-XY 57",xyp-XY57,
"Noctowl BREAK","PR-XY 136",xyp-XY136,
"Absol-EX","PR-XY 62",xyp-XY62,
"Darkrai","PR-XY 22",xyp-XY22,
"Darkrai","PR-XY 194",xyp-XY194,no-image
"Krookodile-EX","PR-XY 25",xyp-XY25,
"Yveltal","PR-XY 06",xyp-XY06,
"Yveltal","PR-XY 32",xyp-XY32,
"Yveltal-EX","PR-XY 08",xyp-XY08,
"M Absol-EX","PR-XY 63",xyp-XY63,
"Malamar","PR-XY 58",xyp-XY58,
"Umbreon","PR-XY 96",xyp-XY96,
"Greninja","PR-XY 24",xyp-XY24,
"Tyranitar","PR-XY 130",xyp-XY130,
"Mandibuzz BREAK","PR-XY 182",xyp-XY182,
"Black Kyurem","PR-XY 80",xyp-XY80,
"Flygon-EX","PR-XY 61",xyp-XY61,
"Garchomp-EX","PR-XY 09",xyp-XY09,
"Garchomp-EX","PR-XY 167",xyp-XY167,
"Latias","PR-XY 78",xyp-XY78,
"Latios-EX","PR-XY 72",xyp-XY72,
"Rayquaza","PR-XY 64",xyp-XY64,
"Rayquaza","PR-XY 141",xyp-XY141,
"Rayquaza-EX","PR-XY 73",xyp-XY73,
"Salamence-EX","PR-XY 170",xyp-XY170,
"Tyrantrum-EX","PR-XY 70",xyp-XY70,
"White Kyurem","PR-XY 81",xyp-XY81,
"Dragalge","PR-XY 10",xyp-XY10,
"M Garchomp-EX","PR-XY 168",xyp-XY168,
"M Salamence-EX","PR-XY 171",xyp-XY171,
"Salamence","PR-XY 59",xyp-XY59,
"Diancie-EX","PR-XY 43",xyp-XY43,
"Mawile-EX","PR-XY 103",xyp-XY103,
"Xerneas","PR-XY 05",xyp-XY05,
"Xerneas","PR-XY 31",xyp-XY31,
"Xerneas-EX","PR-XY 07",xyp-XY07,
"Floette","PR-XY 139",xyp-XY139,
"M Diancie-EX","PR-XY 44",xyp-XY44,
"M Mawile-EX","PR-XY 104",xyp-XY104,
"Aerodactyl-EX","PR-XY 97",xyp-XY97,
"Groudon","PR-XY 52",xyp-XY52,
"Groudon-EX","PR-XY 42",xyp-XY42,
"Machamp-EX","PR-XY 108",xyp-XY108,
"Regirock","PR-XY 49",xyp-XY49,
"Zygarde","PR-XY 129",xyp-XY129,
"Zygarde-EX","PR-XY 151",xyp-XY151,
"Lucario","PR-XY 140",xyp-XY140,
"M Aerodactyl-EX","PR-XY 98",xyp-XY98,
"Pangoro","PR-XY 50",xyp-XY50,
"Machamp","PR-XY 13",xyp-XY13,
"Blaziken-EX","PR-XY 54",xyp-XY54,
"Charizard-EX","PR-XY 17",xyp-XY17,
"Charizard-EX","PR-XY 29",xyp-XY29,
"Charizard-EX","PR-XY 121",xyp-XY121,
"Delphox-EX","PR-XY 19",xyp-XY19,
"Ho-Oh","PR-XY 153",xyp-XY153,
"Moltres","PR-XY 127",xyp-XY127,
"Pansear","PR-XY 131",xyp-XY131,
"Reshiram","PR-XY 74",xyp-XY74,
"Torchic","PR-XY 37",xyp-XY37,
"Victini","PR-XY 189",xyp-XY189,no-image
"Volcanion","PR-XY 145",xyp-XY145,
"Volcanion","PR-XY 164",xyp-XY164,
"Braixen","PR-XY 161",xyp-XY161,
"M Blaziken-EX","PR-XY 86",xyp-XY86,
"M Camerupt-EX","PR-XY 198",xyp-XY198,no-image
"Arcanine BREAK","PR-XY 180",xyp-XY180,
"Ho-Oh BREAK","PR-XY 154",xyp-XY154,
"Beedrill-EX","PR-XY 157",xyp-XY157,
"Celebi","PR-XY 93",xyp-XY93,
"Celebi","PR-XY 187",xyp-XY187,no-image
"Chesnaught-EX","PR-XY 18",xyp-XY18,
"Chespin","PR-XY 88",xyp-XY88,
"Sceptile-EX","PR-XY 53",xyp-XY53,
"Shaymin","PR-XY 188",xyp-XY188,no-image
"Shaymin-EX","PR-XY 148",xyp-XY148,
"Skiddo","PR-XY 11",xyp-XY11,
"Treecko","PR-XY 36",xyp-XY36,
"Venusaur-EX","PR-XY 28",xyp-XY28,
"Gogoat","PR-XY 16",xyp-XY16,
"M Beedrill-EX","PR-XY 158",xyp-XY158,
"Yanmega","PR-XY 144",xyp-XY144,
"Shiftry","PR-XY 23",xyp-XY23,
"Vivillon","PR-XY 137",xyp-XY137,
"Pikachu","PR-XY 89",xyp-XY89,
"Pikachu","PR-XY 95",xyp-XY95,
"Pikachu","PR-XY 202",xyp-XY202,no-image
"Pikachu-EX","PR-XY 84",xyp-XY84,
"Zekrom","PR-XY 76",xyp-XY76,
"Heliolisk","PR-XY 47",xyp-XY47,
"Dialga","PR-XY 77",xyp-XY77,
"Genesect","PR-XY 196",xyp-XY196,no-image
"Jirachi","PR-XY 67",xyp-XY67,
"Jirachi","PR-XY 195",xyp-XY195,no-image
"Magearna","PR-XY 165",xyp-XY165,
"Magearna-EX","PR-XY 175",xyp-XY175,
"Metagross-EX","PR-XY 34",xyp-XY34,
"M Metagross-EX","PR-XY 35",xyp-XY35,
"Azelf","PR-XY 142",xyp-XY142,
"Gallade-EX","PR-XY 45",xyp-XY45,
"Gastly","PR-XY 132",xyp-XY132,
"Giratina","PR-XY 184",xyp-XY184,
"Hoopa","PR-XY 90",xyp-XY90,
"Hoopa","PR-XY 147",xyp-XY147,
"Hoopa-EX","PR-XY 71",xyp-XY71,
"Hoopa-EX","PR-XY 85",xyp-XY85,
"Latios","PR-XY 65",xyp-XY65,
"Meloetta","PR-XY 193",xyp-XY193,no-image
"Mew-EX","PR-XY 126",xyp-XY126,
"Mewtwo","PR-XY 100",xyp-XY100,
"Mewtwo-EX","PR-XY 107",xyp-XY107,
"Mewtwo-EX","PR-XY 183",xyp-XY183,
"Sableye","PR-XY 92",xyp-XY92,
"M Gengar-EX","PR-XY 166",xyp-XY166,
"Meowstic","PR-XY 48",xyp-XY48,
"Weezing","PR-XY 163",xyp-XY163,
"Beheeyem BREAK","PR-XY 135",xyp-XY135,
"Crobat BREAK","PR-XY 181",xyp-XY181,
"Wobbuffet BREAK","PR-XY 155",xyp-XY155,
"Ash-Greninja-EX","PR-XY 133",xyp-XY133,
"Aurorus-EX","PR-XY 102",xyp-XY102,
"Black Kyurem","PR-XY 160",xyp-XY160,
"Blastoise-EX","PR-XY 30",xyp-XY30,
"Froakie","PR-XY 138",xyp-XY138,
"Greninja-EX","PR-XY 20",xyp-XY20,
"Gyarados-EX","PR-XY 106",xyp-XY106,
"Keldeo","PR-XY 191",xyp-XY191,no-image
"Kyogre","PR-XY 51",xyp-XY51,
"Kyogre-EX","PR-XY 41",xyp-XY41,
"Magikarp","PR-XY 143",xyp-XY143,
"Manaphy","PR-XY 190",xyp-XY190,no-image
"Mudkip","PR-XY 38",xyp-XY38,
"Palkia","PR-XY 75",xyp-XY75,
"Swampert-EX","PR-XY 55",xyp-XY55,
"Volcanion-EX","PR-XY 173",xyp-XY173,
"White Kyurem","PR-XY 128",xyp-XY128,
"Clawitzer","PR-XY 146",xyp-XY146,
"Gyarados","PR-XY 109",xyp-XY109,
"M Swampert-EX","PR-XY 87",xyp-XY87,
"Greninja","PR-XY 162",xyp-XY162,
"Empoleon BREAK","PR-XY 134",xyp-XY134,
"Aerodactyl Spirit Link","PR-XY 99",xyp-XY99,
"Beedrill Spirit Link","PR-XY 159",xyp-XY159,
