name,ptcgo,api,notes
"Aipom","STS 90",xy11-90,
"Fletchling","STS 94",xy11-94,
"Hawlucha","STS 97",xy11-97,
"Meowth","STS 88",xy11-88,
"Rufflet","STS 92",xy11-92,
"Ambipom","STS 91",xy11-91,
"Braviary","STS 93",xy11-93,
"Fletchinder","STS 95",xy11-95,
"Persian","STS 89",xy11-89,
"Talonflame","STS 96",xy11-96,
"Pawniard","STS 63",xy11-63,
"Sneasel","STS 60",xy11-60,
"Spiritomb","STS 62",xy11-62,
"Yveltal","STS 65",xy11-65,
"Weavile","STS 61",xy11-61,
"Shiftry","STS 11",xy11-11,
"Yveltal BREAK","STS 66",xy11-66,
"Deino","STS 84",xy11-84,
"Druddigon","STS 83",xy11-83,
"Zweilous","STS 85",xy11-85,
"Hydreigon","STS 86",xy11-86,
"Hydreigon BREAK","STS 87",xy11-87,
"Gardevoir-EX","STS 78",xy11-78,
"Klefki","STS 80",xy11-80,
"Marill","STS 76",xy11-76,
"Xerneas","STS 81",xy11-81,
"Xerneas BREAK","STS 82",xy11-82,
"Croagunk","STS 58",xy11-58,
"Mankey","STS 52",xy11-52,
"Nosepass","STS 54",xy11-54,
"Anorith","STS 56",xy11-56,
"Armaldo","STS 57",xy11-57,
"M Steelix-EX","STS 68",xy11-68,
"Primeape","STS 53",xy11-53,
"Probopass","STS 55",xy11-55,
"Toxicroak","STS 59",xy11-59,
"Chimchar","STS 18",xy11-18,
"Litleo","STS 22",xy11-22,
"Ponyta","STS 16",xy11-16,
"Volcanion","STS 25",xy11-25,
"Monferno","STS 19",xy11-19,
"Pyroar","STS 23",xy11-23,
"Rapidash","STS 17",xy11-17,
"Volcarona","STS 15",xy11-15,
"Infernape","STS 20",xy11-20,
"Pyroar BREAK","STS 24",xy11-24,
"Talonflame BREAK","STS 21",xy11-21,
"Foongus","STS 12",xy11-12,
"Hoppip","STS 3",xy11-3,
"Larvesta","STS 14",xy11-14,
"Seedot","STS 9",xy11-9,
"Tangela","STS 1",xy11-1,
"Yanma","STS 6",xy11-6,
"Amoonguss","STS 13",xy11-13,
"Galvantula","STS 42",xy11-42,
"Nuzleaf","STS 10",xy11-10,
"Skiploom","STS 4",xy11-4,
"Tangrowth","STS 2",xy11-2,
"Yanmega","STS 7",xy11-7,
"Jumpluff","STS 5",xy11-5,
"Yanmega BREAK","STS 8",xy11-8,
"Joltik","STS 41",xy11-41,
"Mareep","STS 38",xy11-38,
"Flaaffy","STS 39",xy11-39,
"Ampharos","STS 40",xy11-40,
"Cobalion","STS 74",xy11-74,
"Klink","STS 71",xy11-71,
"Magearna-EX","STS 75",xy11-75,
"Steelix-EX","STS 67",xy11-67,
"Shieldon","STS 69",xy11-69,
"Bastiodon","STS 70",xy11-70,
"Bisharp","STS 64",xy11-64,
"Klang","STS 72",xy11-72,
"Klinklang","STS 73",xy11-73,
"Drifloon","STS 46",xy11-46,
"Hoopa","STS 51",xy11-51,
"Litwick","STS 48",xy11-48,
"Nidoran♂","STS 43",xy11-43,
"Drifblim","STS 47",xy11-47,
"Lampent","STS 49",xy11-49,
"M Gardevoir-EX","STS 79",xy11-79,
"Nidorino","STS 44",xy11-44,
"Chandelure","STS 50",xy11-50,
"Nidoking","STS 45",xy11-45,
"Bergmite","STS 36",xy11-36,
"Clauncher","STS 33",xy11-33,
"Mantine","STS 27",xy11-27,
"Oshawott","STS 30",xy11-30,
"Shellos","STS 28",xy11-28,
"Volcanion-EX","STS 26",xy11-26,
"Avalugg","STS 37",xy11-37,
"Azumarill","STS 77",xy11-77,
"Clawitzer","STS 34",xy11-34,
"Dewott","STS 31",xy11-31,
"Gastrodon","STS 29",xy11-29,
"Samurott","STS 32",xy11-32,
"Clawitzer BREAK","STS 35",xy11-35,
"Armor Fossil Shieldon","STS 98",xy11-98,
"Captivating Poké Puff","STS 99",xy11-99,
"Claw Fossil Anorith","STS 100",xy11-100,
"Gardevoir Spirit Link","STS 101",xy11-101,
"Greedy Dice","STS 102",xy11-102,
"Ninja Boy","STS 103",xy11-103,
"Pokémon Ranger","STS 104",xy11-104,
"Professor Sycamore","STS 114",xy11-114,
"Special Charge","STS 105",xy11-105,
"Steelix Spirit Link","STS 106",xy11-106,
"Gardevoir-EX","STS 111",xy11-111,
"M Steelix-EX","STS 109",xy11-109,
"Magearna-EX","STS 110",xy11-110,
"Steelix-EX","STS 108",xy11-108,
"M Gardevoir-EX","STS 112",xy11-112,
"Volcanion-EX","STS 107",xy11-107,
"Pokémon Ranger","STS 113",xy11-113,
"Gardevoir-EX","STS 116",xy11-116,
"Volcanion-EX","STS 115",xy11-115,
