name,ptcgo,api,notes
"Blitzle","TK-PikachuLibre 12",xy9-48,functionally-same
"Blitzle","TK-PikachuLibre 26",xy9-48,functionally-same
"Electabuzz","TK-PikachuLibre 15",xy9-42,functionally-same
"Electabuzz","TK-PikachuLibre 23",xy9-42,functionally-same
"Electivire","TK-PikachuLibre 25",xy9-43,functionally-same
"Electivire","TK-PikachuLibre 4",xy9-43,functionally-same
"Electrike","TK-PikachuLibre 11",xy6-24,functionally-same
"Electrike","TK-PikachuLibre 28",xy6-24,functionally-same
"Fletchling","TK-PikachuLibre 16",xy6-82,functionally-same
"Glameow","TK-PikachuLibre 1",xy9-93,functionally-same
"Glameow","TK-PikachuLibre 27",xy9-93,functionally-same
"Lightning Energy","TK-PikachuLibre 2",xy1-135,functionally-same
"Manectric","TK-PikachuLibre 13",xy6-25,functionally-same
"Manectric","TK-PikachuLibre 22",xy6-25,functionally-same
"Pikachu Libre","TK-PikachuLibre 14",noset-14,no-entry
"Pikachu Libre","TK-PikachuLibre 30",noset-30,no-entry
"Potion","TK-PikachuLibre 21",xy0-37,functionally-same
"Purugly","TK-PikachuLibre 19",xy9-94,functionally-same
"Purugly","TK-PikachuLibre 24",xy9-94,functionally-same
"Taillow","TK-PikachuLibre 7",xy6-70,functionally-same
"Tierno","TK-PikachuLibre 20",xy9-112,functionally-same
