name,ptcgo,api,notes
"Ducklett","TK-Suicune 24,xy9-36,functionally-same
"Ducklett","TK-Suicune 7,xy9-36,functionally-same
"Eevee","TK-Suicune 4,xy7-63,functionally-same
"Froakie","TK-Suicune 11,xy8-46,functionally-same
"Froakie","TK-Suicune 23,xy8-46,functionally-same
"Frogadier","TK-Suicune 21,xy8-47,functionally-same
"Frogadier","TK-Suicune 6,xy8-47,functionally-same
"Goldeen","TK-Suicune 13,xy8-27,functionally-same
"Goldeen","TK-Suicune 26,xy8-27,functionally-same
"Piplup","TK-Suicune 16,xy8-36,functionally-same
"Potion","TK-Suicune 15,xy0-37,functionally-same
"Seaking","TK-Suicune 12,xy8-28,functionally-same
"Seaking","TK-Suicune 25,xy8-28,functionally-same
"Suicune","TK-Suicune 14,noset-14,no-entry
"Suicune","TK-Suicune 30,noset-30,no-entry
"Swanna","TK-Suicune 18,xy9-37,functionally-same
"Swanna","TK-Suicune 27,xy9-37,functionally-same
"Tierno","TK-Suicune 20,xy9-112,functionally-same
"Tierno","TK-Suicune 29,xy9-112,functionally-same
"Water Energy","TK-Suicune 1,xy1-134,functionally-same
